time,sensor_alpha[undefined],sensor_beta[undefined],sensor_x0[undefined],sensor_gamma[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],label_activities_walking
1652785648731.8,5.5,-0.3,0.2,-0.1,-0.1,-0.5,0.3,6.9,6.5,
1652785648747.8,3.2,2.4,0.2,-1.3,-0.1,-0.4,0.2,6.9,6.7,x
1652785648764.2,3.4,3.4,0,-1.4,0,0.2,0,7,7.1,x
1652785648781.3,4.3,3.8,-0.3,-1.6,0.2,0.2,-0.2,7.2,7.1,x
1652785648797.7,6.7,4.8,-0.3,-0.5,0.3,0.3,-0.3,7.3,7.2,x
1652785648814.3,9,0.9,-0.2,1.5,0,0.2,-0.1,7,7,x
1652785648830.2,6.1,-5.3,0.1,1.2,-0.1,-0.4,0.1,7,6.5,x
1652785648847.5,2.6,-6.5,-0.2,1.3,0.1,-0.3,-0.1,7.2,6.6,x
1652785648864.3,5,-2.2,-0.1,1.4,0.1,0,-0.1,7.2,6.9,x
1652785648880.2,5.6,-1.5,-0.1,0.7,0,-0.1,-0.1,7.1,6.7,x
1652785648898,3.7,-0.7,0,-0.3,-0.1,-0.2,0,7,6.6,x
1652785648915.4,1,-1.8,-0.2,-0.2,0,-0.3,-0.1,7.1,6.6,x
1652785648931.4,-1.1,-3.6,-0.2,1.9,0.3,-0.2,-0.1,7.4,6.6,x
1652785648946.9,-0.5,-0.4,0,2.8,0,-0.1,0.1,7.1,6.7,x
1652785648965.2,1.7,3.1,0.1,2,0.1,0.5,0.1,7.2,7.3,x
1652785648981.4,3.2,-0.3,0,1.6,0,0.5,0,7.1,7.2,x
1652785648996.9,3.8,-2.9,-0.1,2,0,0.2,0,7.2,7,x
1652785649013.6,3.7,-3.1,0,3,-0.1,-0.2,0.1,7,6.6,x
1652785649032.1,2.2,0.1,0.1,3.2,-0.1,-0.4,0.2,7,6.4,x
1652785649047.5,0.4,1.4,0.1,4,0,-0.3,0.2,7.2,6.5,x
1652785649064.3,-1.8,1.7,0.2,3.9,0,-0.2,0.3,7.1,6.5,x
1652785649081.4,-3,0.8,0.1,2.2,0,0.1,0.3,7.1,6.8,x
1652785649098.1,-2.8,-0.2,0,0.9,0.1,0.1,0.1,7.2,6.9,x
1652785649114.3,-0.4,1.9,0,0.4,0.1,0.2,0.1,7.2,7,x
1652785649130.2,2.3,4.1,-0.1,0.7,0,0.2,0.1,7.2,7,x
1652785649148.1,2.6,3.9,0,1.1,0,0.1,0,7.1,6.8,x
1652785649164.2,1.7,2.6,-0.1,1.5,0,0,0,7.2,6.8,x
1652785649180.2,1.1,1.2,-0.1,2.8,0,0,0,7.2,6.7,x
1652785649197.8,0.7,1.7,-0.1,3.5,0,0,0,7.2,6.7,x
1652785649214.2,0.1,2.2,-0.1,3.6,0,0,0,7.2,6.8,x
1652785649230.2,0.5,2.9,-0.1,3.9,0,0.1,0.1,7.2,6.8,x
1652785649248.5,1.1,3.4,0.2,3.3,0,0,0.3,7.2,6.7,x
1652785649264.3,1.4,4.3,0.4,1.9,-0.1,-0.2,0.5,7.1,6.6,x
1652785649280.7,0.6,6.4,0.4,-0.2,-0.1,-0.3,0.4,7,6.5,x
1652785649296.9,-0.7,8.3,0.1,-1.7,-0.1,-0.1,0.2,7.1,6.7,x
1652785649313.8,-1.6,6.8,-0.1,-1.2,0.1,0.1,0,7.2,6.9,x
1652785649331.5,-2,4,-0.1,-0.3,0.1,0.2,-0.1,7.3,6.9,x
1652785649346.9,-1.7,1.9,-0.2,0.1,0.1,0.2,-0.1,7.2,7,x
1652785649363.6,-0.8,-0.5,-0.1,0.4,0.1,0.1,-0.1,7.2,6.9,x
1652785649382.2,-0.4,-1.3,0,0.5,0,-0.2,0.1,7.2,6.6,x
1652785649398.1,-0.8,0,0.1,-0.3,0,-0.3,0.1,7.1,6.5,x
1652785649413.6,-1.3,2.6,0,-0.8,0,-0.1,0,7.1,6.7,x
1652785649431.2,-1,3.9,-0.2,-0.6,0.1,0.4,-0.2,7.2,7.2,x
1652785649447.6,0.9,0.7,-0.2,0,0.1,0.5,-0.2,7.2,7.3,x
1652785649463.5,2.3,-2.2,-0.1,1.2,0,0.1,-0.1,7.2,6.9,x
1652785649481.1,1.7,-1.8,0.1,1.8,0,-0.3,0.2,7.1,6.5,x
1652785649498.1,0,0.4,0.2,1,-0.1,-0.3,0.3,7.1,6.5,x
1652785649514.2,-0.5,1.9,0.1,-0.2,-0.1,-0.1,0.1,7.1,6.7,x
1652785649530.2,-0.2,2.4,-0.1,-0.7,0,0.1,-0.1,7.2,6.9,x
1652785649547.6,0.8,1.3,-0.1,0.3,0,0.2,-0.1,7.1,7,x
1652785649564.2,1.8,1.4,0,0.1,-0.1,0.1,0,7.1,6.8,x
1652785649580.2,1.7,1.3,0.1,-0.9,-0.1,-0.1,0.1,7.1,6.7,x
1652785649597.6,0,1.3,0.1,-1.7,0,-0.2,0.1,7.1,6.6,x
1652785649615.5,-1.7,1.2,0,-2.1,0.1,0,0,7.2,6.7,x
1652785649630.9,-1.4,1.2,0,-1.9,0.1,0.1,0,7.2,6.8,x
1652785649646.9,-0.8,1.5,0,-2,0,0,0,7.2,6.8,x
1652785649646.9,-0.8,1.5,,-2,,,,,,x
1652785649663.7,-0.8,1.5,0.1,-2,0,-0.1,0,7.2,6.7,x
1652785649663.7,-0.8,1.5,0.1,-2,0,-0.1,0,7.2,6.7,x
1652785649681,-1.1,3.2,0,-2.3,0.1,0,-0.1,7.2,6.9,x
1652785649681,-1.1,3.2,0,-2.3,0.1,0,-0.1,7.2,6.9,x
1652785649697.2,-0.8,0,-0.3,-2.1,0.1,0.3,-0.3,7.3,7.1,x
1652785649697.2,-0.8,0,-0.3,-2.1,0.1,0.3,-0.3,7.3,7.1,x
1652785649713.6,1,-5.2,-0.5,-1.1,0.1,0.4,-0.5,7.2,7.3,x
1652785649713.6,1,-5.2,-0.5,-1.1,0.1,0.4,-0.5,7.2,7.3,x
1652785649731,1.8,-9.5,-0.3,1.1,0.1,-0.1,-0.4,7.2,6.8,x
1652785649731,1.8,-9.5,-0.3,1.1,0.1,-0.1,-0.4,7.2,6.8,x
1652785649747.2,-0.1,-8.2,0,3.9,0.1,-0.3,0,7.3,6.5,x
1652785649747.2,-0.1,-8.2,0,3.9,0.1,-0.3,0,7.3,6.5,x
1652785649763.8,-0.7,-3,0.3,4,-0.2,-0.3,0.3,7,6.5,x
1652785649763.8,-0.7,-3,0.3,4,-0.2,-0.3,0.3,7,6.5,x
1652785649780.9,-0.9,1.9,0.3,2.3,-0.1,-0.2,0.3,7,6.6,x
1652785649780.9,-0.9,1.9,0.3,2.3,-0.1,-0.2,0.3,7,6.6,x
1652785649797.6,-0.5,3.8,0.2,1.1,0,0,0.2,7.2,6.8,x
1652785649797.6,-0.5,3.8,0.2,1.1,0,0,0.2,7.2,6.8,x
1652785649814.2,0.7,3.8,0.2,0.3,0,0.1,0.2,7.2,6.9,x
1652785649814.2,0.7,3.8,0.2,0.3,0,0.1,0.2,7.2,6.9,x
1652785649830.3,2,3.8,0,-0.6,0,0.1,0,7.2,6.9,x
1652785649830.3,2,3.8,0,-0.6,0,0.1,0,7.2,6.9,x
1652785649848.2,2,2,-0.1,-0.9,0,0.1,-0.2,7.2,6.9,x
1652785649848.2,2,2,-0.1,-0.9,0,0.1,-0.2,7.2,6.9,x
1652785649864.2,1.2,-1.3,-0.2,-0.3,0,0.1,-0.2,7.2,6.8,x
1652785649864.2,1.2,-1.3,-0.2,-0.3,0,0.1,-0.2,7.2,6.8,x
1652785649880.2,0.2,-1.5,-0.1,0.9,0.1,-0.2,-0.1,7.2,6.6,x
1652785649880.2,0.2,-1.5,-0.1,0.9,0.1,-0.2,-0.1,7.2,6.6,x
1652785649897.5,-0.4,-0.2,0,1.7,0,-0.1,0,7.2,6.6,x
1652785649897.5,-0.4,-0.2,0,1.7,0,-0.1,0,7.2,6.6,x
1652785649914.3,-0.8,0,0,1.6,-0.1,-0.1,0.1,7.1,6.8,x
1652785649914.3,-0.8,0,0,1.6,-0.1,-0.1,0.1,7.1,6.8,x
1652785649930.9,-1.2,0.1,0.1,1.1,0,0.1,0.1,7.1,6.9,x
1652785649930.9,-1.2,0.1,0.1,1.1,0,0.1,0.1,7.1,6.9,x
1652785649946.8,-0.3,1.4,0.1,0.2,0,0.2,0.1,7.1,6.9,x
1652785649946.8,-0.3,1.4,0.1,0.2,0,0.2,0.1,7.1,6.9,x
1652785649964.4,1.6,2.8,0.1,-0.6,-0.1,0.2,0,7.1,6.9,x
1652785649964.4,1.6,2.8,0.1,-0.6,-0.1,0.2,0,7.1,6.9,x
1652785649980.8,2,1.7,-0.1,-0.6,0,0.1,-0.1,7.2,6.8,x
1652785649980.8,2,1.7,-0.1,-0.6,0,0.1,-0.1,7.2,6.8,x
1652785649996.9,1.3,0,-0.1,-0.3,0,-0.1,-0.1,7.2,6.7,x
1652785649996.9,1.3,0,-0.1,-0.3,0,-0.1,-0.1,7.2,6.7,x
1652785650013.5,1.3,0,-0.1,-0.3,0,-0.1,0,7.2,6.6,x
1652785650013.5,1.3,0,-0.1,-0.3,0,-0.1,0,7.2,6.6,x
1652785650031.9,-1.1,-2.2,0,0.1,0,-0.1,0,7.2,6.7,x
1652785650031.9,-1.1,-2.2,0,0.1,0,-0.1,0,7.2,6.7,x
1652785650047.6,-1.6,-2.6,0,0.2,0,0,0,7.2,6.7,x
1652785650047.6,-1.6,-2.6,0,0.2,0,0,0,7.2,6.7,x
1652785650063.7,-1.7,-2.6,-0.1,0.5,0,0,-0.1,7.2,6.8,x
1652785650063.7,-1.7,-2.6,-0.1,0.5,0,0,-0.1,7.2,6.8,x
