time,sensor_x0[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_y0[undefined],sensor_x[undefined],sensor_gamma[undefined],sensor_y[undefined],sensor_z0[undefined],sensor_z[undefined],label_activities_sitting
1652785662125.7,0.1,-1.2,-4.2,0,0,1.7,6.9,0,6.9,
1652785662141.2,0.1,-2.5,-2.6,0,0.1,1.7,6.9,0.1,6.9,x
1652785662160.6,0.1,-2.3,-0.3,0.1,0.1,1.1,7,0.1,7,x
1652785662174.4,0,-2.3,-0.3,0.1,0.1,1.1,7,0.1,7,x
1652785662191.2,0.1,-0.1,2.8,0.1,0.1,0.2,7,0.2,7.1,x
1652785662241.4,-0.1,0.8,2.7,0,-0.1,1.2,6.9,-0.1,6.8,x
1652785662261.8,-0.1,-0.9,2.3,-0.1,-0.1,2.1,6.9,-0.2,6.8,x
1652785662274.7,-0.2,-2.6,1.6,0,-0.2,2.9,6.9,-0.1,6.9,x
1652785662292.2,-0.1,-2.6,-0.2,0,-0.1,3.3,7,0.2,7.1,x
1652785662308.6,0,1.4,-1.7,0.1,0.1,4,7,0.2,7.1,x
1652785662325.5,0.1,1.4,-1.7,0,0.1,4,7,0.1,7.1,x
1652785662341.1,0.1,2.7,-1.2,0,0.1,3.4,6.9,0,7,x
1652785662357.8,0,2.6,-0.1,0,0,2.3,7,0.1,7.1,x
1652785662374.7,0,3.5,2.4,0,0,3,7,0.1,7.1,x
1652785662391.3,0,4,0.3,0,0.1,3.2,7,0,7,x
1652785662415.2,0.2,3.1,-2.3,0,0.2,2.6,7,-0.2,6.8,x
1652785662428.1,0.2,1.5,-2.3,0,0.2,1.4,7,-0.3,6.7,x
1652785662441.2,0.1,-0.6,-0.6,0,0.2,0.2,7,-0.2,6.8,x
1652785662458,0.1,-0.6,-0.6,0,0.2,0.2,7,-0.1,6.8,x
1652785662474.5,-0.1,-1.8,2.2,0,0,-0.2,7,0.2,7.2,x
1652785662491.7,-0.1,1.3,2.1,0,0,1.2,7,0.2,7.2,x
1652785662508,0,3.5,1.4,0,0.1,1,7,0.1,7.1,x
1652785662524.5,0,3.5,1.4,0,0.1,1,7,0.1,7.1,x
1652785662542.8,-0.1,4.2,1.6,-0.1,0,1,6.9,-0.1,6.8,x
1652785662561.1,-0.1,1.5,-0.7,-0.1,-0.1,0.9,7,-0.2,6.7,x
1652785662574.8,-0.1,1.5,-0.7,0,-0.1,0.9,7,-0.2,6.7,x
1652785662591.2,0,-0.7,-1.4,0,0,1.6,7,-0.1,6.9,x
1652785662607.8,0,-2.3,-1.4,0,0.1,1.9,7,0.1,7,x
1652785662624.5,0.1,-2.3,-1.4,0,0.1,1.9,7,0.1,7,x
1652785662641.4,0.1,-0.5,0.7,0,0.2,1.4,7,0.1,7.1,x
1652785662657.8,0.1,1.1,1,0,0.1,0.3,7,0,6.9,x
1652785662674.4,-0.1,0.3,2.5,0,0,0,7,-0.1,6.8,x
