time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1655202432384.5,0,0,0,-0.5,4.5,8.7,0.8,-2.5,1.3,
1655202432405.4,0.1,-0.2,0.2,-0.4,4.3,8.9,0.7,-2.1,0.5,x
1655202432418.8,0,-0.2,0.2,-0.5,4.3,8.9,1.5,-1.4,0,x
1655202432435.4,0,-0.1,0.1,-0.5,4.4,8.8,3.1,1.2,0.2,x
1655202432452.4,0,0,0,-0.5,4.4,8.8,3.6,1.5,0.4,x
1655202432470.3,0.1,0,-0.1,-0.5,4.4,8.6,2.9,1,1.1,x
1655202432485.4,0,0,-0.1,-0.5,4.5,8.7,1.2,0.7,0.5,x
1655202432502.1,-0.1,0,0,-0.6,4.5,8.7,0.7,0.5,0.9,x
1655202432518.6,0,0,0,-0.6,4.5,8.8,0.6,0.1,2.4,x
1655202432535.1,0,0,0,-0.5,4.4,8.7,1.4,1.2,3,x
1655202432552.1,0,-0.1,-0.1,-0.5,4.4,8.7,1.5,1.8,3,x
1655202432569.9,0.1,0,-0.1,-0.4,4.4,8.7,0.6,1.6,3.4,x
1655202432585.2,0.2,-0.1,-0.1,-0.3,4.4,8.6,0.5,0.8,3.7,x
1655202432601.9,0.2,-0.1,-0.2,-0.2,4.4,8.6,0.5,1.6,3.5,x
1655202432618.8,0.1,0,-0.1,-0.3,4.4,8.6,-1.1,3.2,2.8,x
1655202432635.2,-0.1,-0.1,0,-0.5,4.3,8.7,-2.5,2.3,2.6,x
1655202432652.3,-0.1,-0.1,0,-0.5,4.3,8.8,-3,1.7,2.8,x
1655202432669,0,0,0.1,-0.4,4.4,8.9,-2.7,0.4,2.9,x
1655202432685.1,0.1,0,0,-0.3,4.3,8.8,-1.1,1,3.3,x
1655202432703,0.1,0,0,-0.3,4.4,8.8,-1.1,1.2,2.8,x
1655202432718.6,0,0,-0.1,-0.4,4.4,8.7,-2.1,0.5,2.3,x
