time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658433895359,-0.7,-1.04,0.51,-0.96,-5.78,-8.07,-14.69,7.15,-13.22,x
1658433895373,-0.14,0.08,-0.34,-1.57,-3.72,-9.27,-11.1,5.56,16.58,x
1658433895390,0.06,0.09,-0.47,-1.38,-3.67,-9.41,-6.88,2.2,17.04,x
1658433895407,-0.09,-0.05,-0.43,-1.54,-3.8,-9.38,-4.64,2.24,16.08,x
1658433895423,-0.2,-0.06,-0.5,-1.66,-3.79,-9.46,-1.48,3.98,13.42,x
1658433895440,-0.28,-0.01,-0.65,-1.74,-3.73,-9.6,3.17,3.75,10.68,x
1658433895457,-0.24,0.03,-0.24,-1.7,-3.7,-9.19,2.31,0.13,10.45,x
1658433895473,-0.21,0.02,-0.11,-1.68,-3.71,-9.06,1.05,-1.23,9.99,x
1658433895490,-0.11,0.1,-0.16,-1.61,-3.62,-9.11,2.22,-2.66,10.07,x
1658433895507,-0.08,0.14,-0.16,-1.59,-3.59,-9.1,3.45,-0.5,9.3,x
1658433895523,-0.14,0.09,-0.13,-1.65,-3.64,-9.07,4.75,2.57,7.56,x
1658433895540,-0.17,0,0.06,-1.68,-3.74,-8.88,4.17,5.06,6.91,x
1658433895557,-0.12,-0.04,0.14,-1.63,-3.79,-8.79,3.23,6.06,6.39,x
1658433895573,0,-0.02,0.03,-1.5,-3.78,-8.9,4.43,3.97,7.99,x
1658433895590,0.29,0.02,0.01,-1.22,-3.75,-8.92,5.42,-2.42,11.22,x
1658433895607,0.11,-0.01,0.17,-1.42,-3.79,-8.75,3.89,-4.51,10.61,x
1658433895623,0.04,0.02,0.24,-1.51,-3.76,-8.67,2.01,-4.38,8.7,x
1658433895640,-0.2,0.05,0.23,-1.77,-3.73,-8.68,0.52,0.51,5.55,x
1658433895657,-0.19,0.04,0.18,-1.76,-3.73,-8.73,-0.02,4.72,4.45,x
1658433895673,-0.04,0.04,0.12,-1.6,-3.73,-8.79,0.57,7.02,5.41,x
1658433895690,0.07,0.05,0.09,-1.47,-3.73,-8.83,1.04,7.45,6.78,x
1658433895707,0.02,0.1,0.11,-1.51,-3.67,-8.81,0.53,4.07,7.48,x
1658433895723,-0.06,0.08,0.16,-1.6,-3.69,-8.76,-1.43,-0.98,7.2,x
1658433895740,-0.21,0.01,0.26,-1.76,-3.75,-8.66,-4.24,-4.05,4.65,x
1658433895757,-0.33,0.04,0.03,-1.89,-3.71,-8.89,-3.31,-1.43,2.65,x
1658433895773,-0.25,0.08,-0.13,-1.81,-3.66,-9.06,-0.52,1.69,2.21,x
1658433895790,-0.03,0.1,-0.15,-1.6,-3.64,-9.08,1.46,1.97,2.76,x
