time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1664105322151.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0,
1664105322168.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322184.6,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322201.3,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105322217.9,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105322234.6,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322251.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322267.9,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322284.6,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105322301.2,0,0,0.1,0,2.2,9.6,0,0.2,0.1,x
1664105322318.4,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105322334.6,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105322351.5,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105322367.8,0,0,0.1,0,2.2,9.6,0,0.2,0,x
1664105322384.6,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105322401.2,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105322418.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105322434.6,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105322451.3,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105322467.9,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322484.6,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105322501.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322517.9,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105322534.5,0,0,0,0,2.2,9.6,0.1,0.2,0.1,x
1664105322551.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105322567.9,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105322584.6,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105322602.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105322617.9,0,0,0.1,0,2.2,9.6,0,0.2,0.1,x
1664105322636.7,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105322651.1,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105322667.9,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105322684.5,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105322701.3,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105322718.4,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105322734.6,0,0,0,0,2.2,9.6,0.1,0,0.1,x
1664105322751.1,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105322767.7,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105322784.4,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105322801.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105322818.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322834.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322851.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105322867.8,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322884.7,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105322901.2,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105322918.3,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322935.9,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105322951.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105322967.8,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105322984.6,0,0,0.1,0,2.2,9.6,0,0.2,0.1,x
1664105323001.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323018.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323034.5,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105323051.1,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105323067.8,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323106.6,0,0,0,0,2.2,9.6,0.1,0,0.1,x
1664105323118.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105323134.5,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105323151.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105323171.3,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105323184.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105323201.9,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105323218.2,0,0,0,0,2.2,9.6,0,0.2,0,x
1664105323234.5,0,0,0,0,2.2,9.6,0.1,0,0.1,x
1664105323251.2,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105323267.8,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323284.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105323301.1,0,0,0,0,2.2,9.6,0,0.2,0,x
1664105323318,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105323334.5,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105323351.3,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105323367.7,0,0,0,0,2.2,9.6,0,0.1,0.1,x
1664105323384.5,0,0,0.1,0,2.2,9.6,0.2,0.1,0.1,x
1664105323401.2,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105323418,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105323434.6,0,0,0.1,0,2.2,9.6,0.1,0.2,0,x
1664105323451.2,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105323467.8,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105323484.5,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105323501.4,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105323518.3,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105323534.5,0,0,0.1,0,2.2,9.6,0,0.2,0.1,x
1664105323551.5,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105323573.9,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105323593.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323601.1,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105323617.8,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105323634.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105323651,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323667.7,0,0,0,0,2.2,9.6,0,0.2,0,x
1664105323684.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105323701.3,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105323717.9,0,0,0.1,0,2.2,9.6,0,0.2,0.1,x
1664105323734.5,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105323751.1,0,0,0,0,2.2,9.6,0,0.1,0.1,x
1664105323770.9,0,0,0,0,2.2,9.6,0.1,0.2,0.1,x
1664105323784.5,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105323801.1,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105323818.4,0,0,0,0,2.2,9.6,0,0.1,0.1,x
1664105323834.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323851.1,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105323867.7,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105323884.6,0,0,0,0,2.2,9.6,0,0,0.1,x
1664105323901.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323917.9,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323934.5,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105323951.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323967.7,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105323984.5,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105324001.2,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324018.1,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324052,0,0,0,0,2.2,9.6,0,0.2,0,x
1664105324070.8,0,0,0,0,2.2,9.6,0,0.1,0.1,x
1664105324084.4,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105324101.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324117.7,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324134.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324151.1,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324167.6,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105324184.6,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324201.2,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105324217.9,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324234.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324252.4,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324267.7,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105324284.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324301.1,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105324318.3,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324334.6,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105324351.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324367.7,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324384.5,0,0,0.1,0,2.2,9.6,0.1,0.2,0,x
1664105324407.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324417.9,0,0,0,0,2.2,9.6,0.1,0.2,0.1,x
1664105324434.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324451.7,0,0,0,0,2.2,9.6,0,0.2,0,x
1664105324469.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324484.5,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105324501.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324517.9,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324534.5,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105324551.3,0,0,0,0,2.2,9.6,0,0.2,0.1,x
1664105324567.7,0,0,0,0,2.2,9.6,0.1,0.1,0,x
1664105324584.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324601.1,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105324617.9,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105324634.5,0,0,0,0,2.2,9.6,0,0.2,0,x
1664105324651,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105324667.7,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324684.5,0,0,0,0,2.2,9.6,0,0.2,0.1,x
1664105324701.1,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105324717.9,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105324734.5,0,0,0.1,0,2.2,9.6,0.1,0.2,0.1,x
1664105324751.3,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105324767.7,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105324784.5,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
1664105324801.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0.1,x
