time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1666170364011.6,0.5,-0.2,-1,-1,6.6,6,-95.5,5.4,-45.7
1666170364028.3,-0.8,-0.3,-0.3,-2,6.3,6.8,-106.3,7,-48.6
1666170364044.8,-0.2,-0.2,0.5,-1.4,6.1,7.7,-113.4,13.6,-50.5
1666170364061.5,0.6,-0.3,0.7,-0.4,5.6,8.3,-117.5,13.5,-56.8
1666170364078.1,1.2,-0.4,1.4,-0.4,5.3,9.3,-112.7,3.2,-66.9
1666170364094.9,0.7,-0.3,1.8,-0.4,5.3,9.3,-101.6,-30.1,-70
1666170364111.6,-0.6,0.4,2.4,-1.9,5.7,11,-83.5,-65.2,-59.9
1666170364128,-0.5,0.5,2.5,-1.9,5.7,11,-83.5,-65.2,-59.9
1666170364145.9,0.4,0.5,1.5,-1.1,5.7,10.6,-37.5,-90.8,-43.7
1666170364162.6,0.6,-0.7,0.9,-0.6,3.8,10,-18.7,-81.5,-46.2
1666170364178.2,0.2,-1.2,1,-0.6,3.8,10,-18.7,-81.5,-46.2
1666170364194.8,0.1,-1.2,1.3,-0.6,3.5,10.6,7.6,-45,-57.2
1666170364211.4,0,-0.9,1.3,-0.9,4,10.5,22.8,-18.9,-58.7
1666170364228.1,-0.4,-0.2,1.2,-1.3,4.8,10.6,40.6,-6.3,-54.8
1666170364245,-0.6,0.2,1.4,-1.3,4.8,10.6,62.4,-6.4,-46.4
1666170364261.4,-0.8,0,1.3,-1.9,4.8,10.3,84.1,-0.9,-35.8
1666170364278.1,-0.9,-0.4,1,-1.9,4.8,10.3,84.1,-0.9,-35.8
1666170364294.8,-1.1,-0.7,0.7,-2.2,4.6,9.6,101.3,11.1,-22.4
1666170364311.5,-0.9,-0.8,-1.2,-2.5,5.6,6.7,111.2,50.5,12.2
1666170364328.1,-1.4,0.6,-2.6,-2.8,7,5.9,91.2,46.5,31.7
1666170364344.8,-1.3,1.1,-2.3,-2.8,7,5.9,79.1,38.1,41
1666170364362.2,-0.5,1.1,-2.2,-2,7.4,5.9,79.1,38.1,41
1666170364378.2,-0.6,-0.9,-0.6,-2.3,5.7,7.2,76.1,-9.7,32.6
1666170364394.8,-1.2,-1.2,-0.3,-2.3,5.7,7.2,95.4,-21.7,34.9
1666170364411.4,-2,-1.5,-0.3,-3.3,5.8,7,117.1,-37.7,43.7
1666170364428.9,-2,-1.2,-0.3,-3.3,5.8,7,117.1,-37.7,43.7
1666170364444.7,-1.5,-0.8,-1.1,-2.9,6.5,6.2,128.7,-72.1,62.5
1666170364461.4,0.1,-0.7,-1.7,-0.3,7,4.6,119.1,-69.7,56.5
1666170364478,0.4,-1.1,-1.9,-0.1,7,4.2,107.4,-50.6,45.6
1666170364494.8,0,-0.9,-2,-0.1,7,4.2,91.8,-26.6,37.9
1666170364511.4,-0.7,-0.7,-2.7,-0.7,7.7,2.9,68.8,0.1,38.8
1666170364528.2,-0.5,-0.6,-2.7,-0.7,7.7,2.9,68.8,0.1,38.8
1666170364544.8,0.4,0,-2.5,0,8.2,2.8,11.4,30.5,31.2
1666170364569.3,1.1,-0.1,-1.3,1,8.3,4,-7.8,51.8,24.7
1666170364585.1,0.7,-0.2,-1.1,0.3,8.1,4.3,-18.9,65.8,19.3
1666170364595,0,-0.3,-0.9,0.3,8.1,4.3,-22.8,65.4,24
1666170364611.4,-0.9,0,-0.1,-1,8.1,5.5,-13.1,65.7,34.9
1666170364628.6,-0.7,-0.2,0.2,-1,8.1,5.5,-13.1,65.7,34.9
1666170364644.8,0,-0.3,0.4,-0.4,7.9,5.9,5.5,45.1,32.3
1666170364661.4,0.1,-0.2,-0.4,-0.2,7.9,4.7,4.9,45.7,27.8
1666170364682.5,0.1,-0.2,-0.4,-0.2,7.9,4.7,4.9,45.7,27.8
1666170364695,0.4,-0.3,-1,0.2,8.1,4.1,-2.7,46.8,12.1
1666170364711.4,0.2,0,-1.1,-0.3,8.4,4.3,-6.9,28,-10.8
1666170364728.1,-0.1,0.2,-1,-0.3,8.4,4.3,-6.9,28,-10.8
1666170364744.8,-0.9,0,-1.3,-1,8.3,4.1,-9.1,14.4,-14.3
1666170364761.4,-1.7,0.7,-1.3,-2.3,9.3,4.2,-18.9,12.4,-6.1
1666170364778.1,-1.8,1.4,-0.4,-2.3,9.5,5.3,-32.5,2.9,-3.6
1666170364794.8,-1.5,1.1,0.5,-2.3,9.5,5.3,-35.5,-10,-3.8
1666170364811.4,-0.9,-0.1,1.5,-1,7.8,7.4,-29.9,-15.9,1.5
1666170364828.2,-0.3,-0.4,1.9,-1,7.8,7.4,-29.9,-15.9,1.5
1666170364844.8,1.2,-0.4,2.5,0.3,7.7,8.1,5.8,3.9,-0.9
1666170364861.4,1.1,-0.1,2.2,0.2,8.1,7.4,30.4,6.9,-13.5
