time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1666170509048.7,0.2,0.1,-1.4,-2.1,5.2,7,-18.9,-28.3,-21.5,
1666170509064.8,0.6,0.1,-0.7,-1.6,5.2,7.4,-17.1,-29.1,-18.1,x
1666170509081.5,1.2,0.4,-0.4,-0.9,5.4,7.7,-11,-28.5,-20.2,x
1666170509098.2,1.2,0.4,-0.5,-0.8,5.6,7.6,-5.6,-27.5,-28.3,x
1666170509116,0.6,0.6,-0.8,-1.2,5.8,7.2,-5.4,-27.8,-36.5,x
1666170509131.5,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509148.2,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509164.9,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509181.5,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509198.2,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509214.8,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509231.7,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509249,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509264.8,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509281.5,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509298.2,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509314.9,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509331.5,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509348.1,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509364.8,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509381.5,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509398.2,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509414.8,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509431.5,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509448.3,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509464.8,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509481.5,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509498.1,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509514.9,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
1666170509531.6,0,0.7,-1,-1.7,5.8,7,-10.3,-29.7,-40.9,x
