time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653401619106,0.13,3.88,-3.51,-0.87,7.51,5.57,-14.9,-7.55,-19.07
1653401619230,0.26,-0.39,0.1,-0.55,1.24,9.79,,,
1653401619287,0.62,-0.34,-0.29,0.17,0.95,9.49,-23.69,-28.9,-2.76
1653401619296,0.52,-0.25,-0.49,0.19,0.99,9.23,-29.15,-24.77,-2.73
1653401619306,0.31,-0.14,-0.5,0.08,1.06,9.22,-34.96,-20.46,-1.43
1653401619315,0.16,-0.17,-0.48,-0.05,1.07,9.23,-39.12,-17.17,2.28
1653401619326,0.24,-0.2,-0.13,-0.02,0.99,9.43,-39.86,-15.56,6.2
1653401619335,0.29,-0.26,0.46,0.13,0.89,10.02,-35.73,-14.13,8.3
1653401619346,0.17,-0.17,0.93,0.05,0.91,10.68,-27.33,-11.99,8.51
1653401619356,-0.12,0.04,1.33,-0.26,1.09,11.08,-15.71,-11.57,9.17
1653401619365,-1.02,0.75,1.2,-1.4,2,10.94,-4.75,-11.29,16.14
1653401619376,-0.25,0.02,0.9,-0.84,1.38,10.73,1.16,-23.09,25.76
1653401619385,0.39,-0.36,0.58,0.07,0.75,10.32,1.55,-39.78,32.17
1653401619396,0.85,-0.49,0.36,0.68,0.53,10.12,1.44,-46.92,33.32
1653401619406,0.88,-0.36,0.41,0.85,0.58,10.16,3.05,-47.13,33.46
1653401619416,0.6,-0.3,0.47,0.78,0.59,10.21,6.34,-44.86,33.64
1653401619426,0.42,0,0.59,0.58,0.78,10.32,9.63,-40.13,35.67
1653401619436,0.34,0.19,0.67,0.58,1.07,10.43,12.29,-34.99,37.52
1653401619446,0.3,0.19,0.54,0.55,1.1,10.33,15.48,-28.9,42.67
1653401619456,0.43,0.06,0.33,0.7,1.01,10.15,18.03,-20.67,48.3
1653401619466,0.73,-0.11,0.15,1.07,0.88,9.97,18.66,-8.18,52.5
1653401619476,0.94,-0.4,-0.12,1.46,0.57,9.71,16.18,4.88,53.83
1653401619485,0.93,-0.49,-0.42,1.7,0.28,9.4,13.48,14.82,53.59
1653401619496,0.83,-0.54,-0.83,1.76,0.25,9.04,11.38,23.88,52.64
1653401619506,0.73,-0.64,-1.13,1.82,-0.04,8.6,8.48,29.69,48.93
1653401619516,0.69,-0.62,-1.26,1.88,-0.11,8.47,5.26,33.75,43.68
1653401619526,0.52,-0.51,-1.21,1.9,-0.11,8.49,0.46,38.48,32.59
1653401619536,0.18,-0.31,-0.83,1.72,-0.02,8.75,-1.92,40.4,25.83
1653401619546,-0.14,-0.11,-0.25,1.37,0.16,9.35,-2.83,39.7,18.38
1653401619555,-0.32,0.08,0.43,1.15,0.35,10.02,0.15,30.74,12.64
1653401619566,-0.47,0.23,0.52,0.9,0.51,10.29,3.86,18.91,9.77
1653401619575,-0.46,0.31,0.31,0.75,0.71,10.03,7.11,14.5,8.82
1653401619585,-0.43,0.35,-0.19,0.7,0.82,9.54,8.34,16.39,9
1653401619596,-0.46,0.33,-0.3,0.62,0.85,9.42,6.87,17.93,9.8
1653401619605,-0.45,0.31,-0.1,0.5,0.89,9.58,4.94,18.88,12.5
1653401619616,-0.35,0.24,-0.01,0.56,0.89,9.72,5.01,18.77,14.04
1653401619626,-0.4,0.08,0.01,0.44,0.77,9.76,6.73,17.48,14.74
1653401619636,-0.25,0,0.13,0.5,0.67,9.84,10.86,15.73,14.84
1653401619646,-0.06,0.01,0.17,0.66,0.65,9.92,16.91,14.05,13.9
1653401619656,0,0.12,0,0.76,0.79,9.79,22.2,14.15,12.85
1653401619666,-0.15,0.12,-0.28,0.58,0.83,9.48,24.02,15.76,11.69
1653401619676,-0.42,0.08,-0.81,0.25,0.81,8.95,20.76,19.79,11.55
1653401619686,-0.44,0.13,-0.81,0.15,0.89,8.95,14.92,22.55,11.94
1653401619696,-0.39,0.17,-0.63,0.14,0.97,9.13,11.42,23.46,12.43
1653401619706,-0.33,0.28,-0.12,0.12,1.11,9.53,8.72,23.95,13.55
1653401619716,-0.22,0.28,-0.01,0.19,1.18,9.74,7.15,23.39,14.77
1653401619726,-0.17,0.22,0.01,0.22,1.17,9.76,6.1,22.76,15.72
1653401619736,-0.15,0.13,0.06,0.2,1.13,9.8,6.41,23.32,16.28
1653401619746,-0.17,0.12,0.09,0.19,1.08,9.84,8.55,22.55,16.31
1653401619755,-0.29,0.17,0.12,0.03,1.19,9.86,9.95,18.28,15.51
1653401619766,-0.39,0.24,0.09,-0.18,1.3,9.84,11.63,11.6,16.17
1653401619776,-0.35,0.28,0.01,-0.21,1.4,9.76,11.7,7.22,17.82
1653401619786,-0.26,0.22,-0.1,-0.17,1.38,9.64,11.63,3.27,19.92
1653401619796,-0.16,0.18,-0.09,-0.11,1.39,9.61,10.72,1.8,20.72
1653401619805,-0.06,0.14,-0.07,-0.01,1.38,9.66,9.63,-0.37,21.32
1653401619816,-0.02,0.11,-0.08,0.02,1.36,9.64,9.53,-1.07,21.46
1653401619826,0,0.08,-0.13,0.04,1.35,9.6,9.21,-1.49,21.11
1653401619836,0,0.07,-0.2,0.05,1.36,9.52,8.27,-1.42,20.62
1653401619846,0.07,0.08,-0.34,0.09,1.37,9.4,6.48,-0.13,20.27
1653401619856,0.09,0.03,-0.36,0.15,1.36,9.35,4.38,2.01,19.39
1653401619866,0.07,0.07,-0.14,0.13,1.42,9.49,2.42,4.11,19.15
1653401619876,-0.03,0.08,0.04,0.05,1.44,9.75,1.16,5.96,18.83
1653401619886,-0.03,0.09,0.19,0.05,1.47,9.85,1.44,6.28,18.8
1653401619896,-0.04,0.07,0.23,0.03,1.45,9.94,3.51,4.63,18.62
1653401619906,-0.01,0.01,0.15,0.05,1.39,9.85,4.59,3.02,18.66
1653401619916,0.09,-0.01,0.05,0.15,1.39,9.76,4.73,2.25,18.24
1653401619926,0.09,0.04,0,0.17,1.38,9.73,3.37,2.32,18.41
1653401619936,0.09,0.04,0.03,0.2,1.42,9.74,2.53,4.11,18.94
1653401619946,0.1,0.02,0.05,0.23,1.41,9.76,2.35,6.28,19.39
1653401619956,0.02,0,0.04,0.16,1.39,9.75,2.91,7.92,19.43
1653401619966,0.01,0.03,0.05,0.15,1.42,9.76,2.81,8.76,19.64
1653401619976,-0.06,0.07,0.16,0.06,1.47,9.87,3.33,9.64,19.43
