time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653397346715.8,3.1,37.1,1.8
1653397346732.4,2.5,37,3.1
1653397346750.4,2.3,36.7,3.5
1653397346764.7,2.4,36.5,3.1
1653397346782.9,2.7,35.8,2.4
1653397346798.1,2.9,35.2,1.7
1653397346814.7,3,35,1.3
1653397346831.4,3.2,34.5,0.8
1653397346848.1,3.4,34.1,0.4
1653397346864.7,3.5,33.9,0.2
1653397346881.4,3.6,33.6,-0.1
1653397346898,3.7,33.3,-0.3
1653397346914.7,3.8,33.2,-0.5
1653397346931.4,3.8,33.1,-0.5
1653397346998.1,3.9,33.1,-0.6
1653397347031.4,3.9,33,-0.8
1653397347048.1,3.9,32.9,-0.9
1653397347081.8,4,32.7,-1
1653397347115,3.9,32.6,-1
1653397347182.7,3.9,32.6,-1.1
1653397347248.3,3.9,32.5,-1.1
1653397347282.1,3.9,32.4,-1.1
1653397347302,3.4,33.5,-0.3
1653397347331.6,3.4,33.4,-0.5
1653397347381.6,3,34.2,0.1
1653397347398.7,2.7,34.8,0.6
1653397347414.9,2.5,35.1,0.9
1653397347431.7,2.3,35.6,1.3
1653397347448.3,2.1,35.8,1.4
1653397347465.4,2,36.1,1.6
1653397347482.5,1.8,36.3,1.8
1653397347498.5,1.7,36.5,2
1653397347515.1,1.6,36.6,2
1653397347531.6,1.5,36.8,2.1
1653397347548.3,1.5,36.9,2.2
1653397347581.7,1.4,37,2.3
1653397347632,1.3,37.1,2.4
1653397347715.4,1.3,37.1,2.3
1653397347731.6,1.3,37.1,2.4
1653397347749.9,1.3,37.1,2.3
1653397347765.5,1.3,37,2.3
1653397347798.3,1.3,37,2.4
1653397347815,1.3,37.1,2.4
1653397347865.8,1.3,37,2.4
1653397347910.2,1.4,37,2.3
1653397347981.6,1.3,37.1,2.4
1653397348031.6,1.3,37,2.4
1653397348064.8,1.4,37.1,2.4
1653397348081.6,1.4,37.1,2.3
1653397348102,1.4,37,2.3
1653397348114.8,1.4,37,2.2
1653397348148.3,1.3,37,2.3
1653397348182.1,1.3,36.9,2.3
1653397348202.7,1.3,36.9,2.4
1653397348220.1,1.3,37,2.4
1653397348265.7,1.2,37,2.6
1653397348281.9,1.3,36.9,2.4
1653397348298.3,1.5,36.7,2.2
1653397348315,1.6,36.6,2.1
1653397348332,1.7,36.4,1.8
1653397348348.4,1.7,36.1,1.7
1653397348365.4,1.7,36,1.7
1653397348381.7,1.7,35.7,1.7
1653397348398.3,1.7,35.5,1.7
1653397348415.1,1.8,35.4,1.7
1653397348431.6,1.9,35.3,1.6
1653397348448.3,2,35.3,1.4
1653397348499.6,2,35.6,1.6
1653397348514.8,2,35.7,1.6
1653397348531.7,2,35.8,1.6
1653397348548.3,2.1,36,1.6
1653397348581.6,2,36.1,1.6
1653397348615.8,1.9,36.1,1.7
1653397348631.6,1.9,36.2,1.7
1653397348648.3,1.8,36.2,1.8
1653397348665.1,1.8,36.1,1.8
1653397348681.6,1.7,36,1.8
1653397348715.2,1.6,35.8,1.8
1653397348731.7,1.6,35.7,1.8
1653397348748,1.5,35.6,1.8
1653397348781.9,1.5,35.5,1.9
1653397348862.9,1.5,35.4,1.9
1653397348931.6,1.5,35.3,1.7
1653397348948.4,1.6,35.2,1.6
1653397348964.9,1.6,35.2,1.5
1653397348981.6,1.7,35.2,1.4
1653397349031.6,1.8,35.1,1.4
1653397349048.3,1.7,35,1.4
1653397349098.4,1.7,34.9,1.5
1653397349198.5,1.6,34.8,1.4
1653397349281.6,1.6,35,1.4
1653397349381.6,1.6,34.9,1.5
1653397349398.3,1.5,34.8,1.5
1653397349448.3,1.5,34.9,1.6
1653397349498.3,1.4,34.9,1.7
1653397349648.3,1.4,34.7,1.6
1653397349665.3,1.4,34.7,1.5
1653397349681.6,1.5,34.6,1.3
1653397349698.6,1.6,34.5,1.2
1653397349715.4,1.6,34.5,1.1
1653397349731.9,1.7,34.5,1
1653397349788.8,1.7,34.5,0.8
1653397349848.3,1.8,34.3,0.7
1653397349898.5,1.7,34.4,0.9
1653397349915.4,1.6,34.5,0.9
1653397349931.5,1.6,34.7,1
1653397349948.3,1.6,34.8,1.1
1653397349981.8,1.8,35,1.4
1653397349998.3,2,35.3,1.7
1653397350015.4,2.3,35.5,1.7
1653397350031.5,3,35.7,1.6
