time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1653401301656,0,0,0,x
1653401301661,87.62,14.87,8.53,x
1653401301665,87.52,14.98,8.18,x
1653401301669,87.4,15.09,7.9,x
1653401301729,87.25,15.27,7.68,x
1653401301729,87.07,15.49,7.55,x
1653401301729,86.87,15.74,7.54,x
1653401301809,86.7,15.97,7.37,x
1653401301811,86.42,16.14,7.33,x
1653401301812,86.2,16.3,7.32,x
1653401301812,85.99,16.43,7.3,x
1653401301813,85.78,16.56,7.29,x
1653401301813,85.57,16.66,7.29,x
1653401301814,85.19,17.06,7.77,x
1653401301818,84.85,17.4,8.12,x
1653401301820,84.57,17.67,8.27,x
1653401301821,84.34,17.9,8.23,x
1653401301824,84.16,18.08,8.07,x
1653401301825,84.02,18.19,7.8,x
1653401301825,83.92,18.2,7.43,x
1653401301826,83.97,17.75,6.69,x
1653401301827,84.13,17.29,5.85,x
1653401301828,84.38,16.36,3.99,x
1653401301828,84.27,16.83,4.94,x
1653401301832,84.44,15.88,3.04,x
1653401301833,84.28,14.54,0.57,x
1653401301833,83.09,13.96,-1.5,x
1653401301833,83.48,14.05,-1.14,x
1653401301833,83.7,14.02,-0.86,x
1653401301833,83.28,14.03,-1.38,x
1653401301833,83.93,13.99,-0.54,x
1653401301833,84.45,15.41,2.13,x
1653401301833,84.39,14.96,1.3,x
1653401301833,84.13,14.18,-0.06,x
1653401301834,82.92,13.86,-1.52,x
1653401301834,82.77,13.7,-1.5,x
1653401301835,82.67,13.48,-1.47,x
1653401301836,82.61,13.22,-1.48,x
1653401301839,82.58,12.94,-1.54,x
1653401301842,82.58,12.68,-1.61,x
1653401301848,82.58,12.47,-1.65,x
1653401301852,82.56,12.3,-1.6,x
1653401301856,82.52,12.16,-1.43,x
1653401301861,82.47,12.04,-1.17,x
1653401301865,82.44,11.9,-0.87,x
1653401301873,82.44,11.69,-0.57,x
1653401301881,82.46,11.4,-0.28,x
1653401301882,82.49,11.07,-0.01,x
1653401301886,82.54,10.7,0.25,x
1653401301890,82.58,10.27,0.55,x
1653401301895,82.64,9.8,0.94,x
1653401301900,82.71,9.29,1.45,x
1653401301905,82.82,8.73,2.04,x
1653401301912,82.99,8.12,2.67,x
1653401301914,83.21,7.46,3.25,x
1653401301919,83.5,6.8,3.76,x
1653401301924,83.84,6.17,4.19,x
1653401301929,84.22,5.59,4.53,x
1653401301935,84.64,5.09,4.79,x
1653401301940,85.11,4.65,4.96,x
1653401301944,85.62,4.28,5.05,x
1653401301951,86.16,3.97,5.09,x
1653401301953,86.74,3.71,5.09,x
1653401301961,87.35,3.48,5.07,x
1653401301966,87.99,3.28,5.03,x
1653401301970,88.65,3.09,4.97,x
1653401301974,89.33,2.92,4.88,x
1653401301980,90.02,2.76,4.76,x
1653401301983,90.71,2.62,4.64,x
1653401301998,91.39,2.53,4.52,x
1653401301999,92.06,2.47,4.42,x
1653401302000,92.73,2.46,4.38,x
1653401302001,93.38,2.49,4.39,x
1653401302006,94.02,2.56,4.48,x
1653401302012,94.65,2.66,4.63,x
1653401302016,95.25,2.79,4.92,x
1653401302021,95.83,2.96,5.42,x
1653401302025,96.36,3.12,5.94,x
1653401302032,96.85,3.23,6.39,x
1653401302036,97.26,3.36,6.8,x
1653401302040,97.6,3.56,7.19,x
1653401302045,97.86,3.84,7.55,x
1653401302050,98.06,4.19,7.87,x
1653401302054,98.23,4.56,8.14,x
1653401302060,98.37,4.95,8.34,x
1653401302064,98.49,5.33,8.49,x
1653401302070,98.6,5.7,8.59,x
1653401302074,98.68,6.06,8.64,x
1653401302089,98.76,6.4,8.67,x
1653401302090,98.82,6.74,8.68,x
1653401302091,98.86,7.07,8.7,x
1653401302095,98.91,7.39,8.74,x
1653401302100,98.94,7.71,8.83,x
1653401302104,98.98,8.02,8.97,x
1653401302109,99.03,8.33,9.12,x
1653401302117,99.11,8.63,9.27,x
1653401302120,99.21,8.94,9.41,x
1653401302121,99.34,9.26,9.57,x
1653401302125,99.49,9.61,9.74,x
1653401302130,99.66,9.96,9.93,x
1653401302135,99.86,10.32,10.12,x
1653401302141,100.08,10.68,10.3,x
1653401302144,100.31,11.04,10.44,x
1653401302150,100.55,11.39,10.55,x
1653401302156,100.79,11.73,10.62,x
1653401302161,101.04,12.08,10.66,x
1653401302164,101.28,12.41,10.67,x
1653401302169,101.51,12.72,10.67,x
1653401302174,101.73,13.01,10.68,x
1653401302180,101.92,13.27,10.69,x
1653401302184,102.09,13.51,10.71,x
1653401302190,102.24,13.72,10.76,x
1653401302194,102.36,13.93,10.82,x
1653401302203,102.46,14.13,10.91,x
1653401302204,102.56,14.34,11.03,x
1653401302210,102.65,14.55,11.17,x
1653401302215,102.75,14.77,11.33,x
1653401302219,102.86,14.98,11.5,x
1653401302223,102.99,15.19,11.65,x
1653401302227,103.12,15.39,11.81,x
1653401302234,103.26,15.58,11.97,x
1653401302238,103.41,15.75,12.13,x
1653401302241,103.57,15.89,12.29,x
1653401302246,103.73,16.01,12.48,x
1653401302250,103.9,16.09,12.69,x
1653401302255,104.08,16.14,12.91,x
1653401302260,104.28,16.18,13.1,x
1653401302264,104.49,16.22,13.24,x
1653401302271,104.73,16.25,13.32,x
1653401302275,104.99,16.29,13.33,x
1653401302279,105.28,16.34,13.29,x
1653401302285,105.58,16.4,13.22,x
1653401302289,105.89,16.48,13.11,x
1653401302293,106.19,16.57,13,x
1653401302298,106.5,16.67,12.87,x
1653401302302,106.8,16.78,12.74,x
1653401302308,107.08,16.9,12.61,x
1653401302312,107.36,17.02,12.46,x
1653401302319,107.61,17.15,12.31,x
1653401302322,107.84,17.27,12.15,x
1653401302327,108.05,17.39,11.99,x
1653401302332,108.24,17.51,11.84,x
1653401302337,108.41,17.61,11.69,x
1653401302342,108.55,17.7,11.54,x
1653401302358,108.69,17.77,11.38,x
1653401302359,108.92,17.87,11.05,x
1653401302359,108.81,17.83,11.22,x
1653401302362,109.03,17.9,10.88,x
1653401302371,109.14,17.92,10.7,x
1653401302375,109.25,17.92,10.51,x
1653401302376,109.36,17.92,10.33,x
1653401302383,109.47,17.9,10.16,x
1653401302385,109.58,17.88,10.01,x
1653401302393,109.7,17.86,9.88,x
1653401302396,109.81,17.83,9.76,x
1653401302399,109.91,17.78,9.63,x
1653401302411,110.09,17.63,9.36,x
1653401302411,110.01,17.71,9.51,x
1653401302419,110.16,17.52,9.19,x
1653401302420,110.23,17.4,8.99,x
1653401302422,110.29,17.26,8.76,x
1653401302427,110.34,17.12,8.53,x
1653401302432,110.39,17,8.3,x
