time,sensor_alpha[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1652785632972.1,93.3,,39.7,-5.9,x
1652785632988.4,92.6,,39.5,-5,x
1652785633005.1,91.2,,38.9,-3.1,x
1652785633021,90.2,,38.2,-1.4,x
1652785633037.7,90.1,,38,-0.8,x
1652785633055,90.3,,38,0,x
1652785633071,91.1,,38.5,0.1,x
1652785633089.4,92.3,,39.3,-0.4,x
1652785633105.5,92.9,,39.7,-0.7,x
1652785633121.2,94.1,,40.3,-1.5,x
1652785633137.7,94.7,,40.6,-1.9,x
1652785633155,95.5,,40.8,-2.5,x
1652785633171.8,95.9,,40.7,-2.5,x
1652785633188,96.1,,40.6,-2.1,x
1652785633204.3,96.3,,40.3,-1.5,x
1652785633221.7,96.4,,40.1,-1.3,x
1652785633238,96.7,,39.7,-0.8,x
1652785633254.3,97,,39.3,-0.4,x
1652785633271.3,97.3,,39.2,-0.2,x
1652785633287.7,97.8,,38.9,0.1,x
1652785633305,98.5,,38.8,0.3,x
1652785633322.6,99.4,,38.6,0.4,x
1652785633338.3,99.9,,38.6,0.3,x
1652785633355.1,101,,38.6,0.2,x
1652785633371.1,102.1,,38.7,0.1,x
1652785633389.7,103.3,,38.7,0,x
1652785633405.5,104,,38.7,-0.1,x
1652785633421.7,105.1,,38.7,-0.1,x
1652785633439,106.1,,38.8,0.2,x
1652785633455,106.6,,38.9,0.4,x
1652785633471.7,107.6,,39.2,0.7,x
1652785633487.7,108.8,,39.3,1,x
1652785633505,109.5,,39.4,1,x
1652785633521.8,111.1,,39.3,0.8,x
1652785633538.3,112.6,,39.3,0.7,x
1652785633555.9,113.9,,39.4,1.2,x
1652785633571.8,114.5,,39.4,1.4,x
1652785633588.4,115.9,,39,1.6,x
1652785633604.8,116.9,,38.3,1.6,x
1652785633622.7,117.8,,37.6,1.9,x
1652785633638.4,118.2,,37.5,2.1,x
1652785633654.3,118.8,,37.8,3.2,x
1652785633672.4,119.8,,38.9,4.4,x
1652785633688.3,120.4,,39.6,4.8,x
1652785633712.1,122,,40.8,5,x
1652785633721,123.9,,41.4,4.2,x
1652785633738.3,125.8,,41.5,3.1,x
1652785633755.1,126.8,,41.3,2.6,x
1652785633771.2,128.6,,40.9,1.7,x
1652785633788.6,130.4,,40.4,1,x
1652785633804.9,131.3,,40.2,0.8,x
1652785633822.2,133,,39.9,0.6,x
1652785633837.7,134.7,,40,0.5,x
1652785633855.5,135.6,,40.1,0.4,x
1652785633871.7,137.5,,40.5,0,x
1652785633887.7,139.5,,41,-0.6,x
1652785633905.7,141.6,,41.3,-1.3,x
1652785633921.7,142.6,,41.4,-1.7,x
1652785633938.4,144.6,,41.6,-2.6,x
1652785633954.3,146.5,,41.6,-3.5,x
1652785633972.9,147.3,,41.6,-4,x
1652785633988.4,148.8,,41.5,-4.8,x
1652785634005.1,150,,41.4,-5.5,x
1652785634021,151,,41.1,-5.9,x
1652785634038.4,151.4,,40.9,-6.1,x
1652785634055.1,152,,40.5,-6.4,x
1652785634071,152.5,,40,-6.9,x
1652785634088.8,152.6,,39.8,-7.1,x
1652785634105,152.6,,39.7,-7.2,x
1652785634121.8,152.6,,39.7,-7,x
1652785634137.7,152.5,,39.9,-6.9,x
1652785634155.5,152.5,,40.1,-6.7,x
1652785634171.8,152.3,,40.1,-6.9,x
1652785634187.7,151.6,,39.7,-6.6,x
1652785634206.3,150.6,,39.3,-5.7,x
1652785634222.1,150.4,,39.2,-5.2,x
1652785634238.2,150.4,,39.2,-4.9,x
1652785634254.4,150.6,,39.5,-4.8,x
1652785634272.4,150.6,,39.8,-4.7,x
1652785634288.1,150.5,,40.3,-4.3,x
1652785634304.3,150.2,,40.8,-3.5,x
1652785634321.8,149.9,,40.8,-2.6,x
1652785634338.9,149.9,,40.7,-2.2,x
1652785634355.1,150.5,,40.2,-1.9,x
1652785634371,151.1,,40,-2.1,x
1652785634388.5,152.5,,39.7,-2.7,x
1652785634405.1,154,,40,-3.4,x
1652785634421,155.5,,40.5,-3.9,x
1652785634439.7,156.8,,40.9,-4.1,x
1652785634455.4,157.5,,41,-4.2,x
1652785634471.7,158.7,,41.1,-3.9,x
1652785634487.6,159.3,,41,-3.7,x
1652785634505.5,160.4,,40.6,-3.1,x
1652785634521.7,161.5,,40.1,-2.5,x
1652785634537.6,162.6,,39.7,-1.9,x
1652785634556.2,163.7,,39.3,-1.4,x
1652785634572.1,164.3,,39.1,-1.2,x
1652785634588.4,165.6,,38.6,-1,x
1652785634604.3,166.2,,38.4,-0.9,x
1652785634621.8,167.5,,37.8,-0.7,x
1652785634641.8,168.7,,37.3,-0.3,x
1652785634671.3,170.6,,36.6,0.5,x
1652785634688.3,172,,36.4,0.9,x
1652785634705,173.7,,36.3,1,x
1652785634722,175.5,,36.5,1,x
1652785634738.3,176.5,,36.6,0.9,x
1652785634755,178.3,,36.9,0.9,x
1652785634771,180,,37.2,1,x
1652785634789.7,181.5,,37.6,1.5,x
1652785634805.5,182.1,,37.8,1.9,x
1652785634821.8,183.4,,38.2,2.6,x
1652785634837.6,184.2,,38.2,2.7,x
1652785634855.6,185.7,,37.7,2.2,x
1652785634871.7,186.8,,36.9,1.7,x
1652785634887.6,187.5,,36.2,2.1,x
1652785634906.2,188.1,,36.1,3.2,x
1652785634921.9,188.5,,36.3,4,x
1652785634937.5,189.4,,37.1,5.4,x
1652785634955.4,190.7,,38,6.2,x
1652785634971.9,191.6,,38.4,6.3,x
1652785634988.6,193.5,,38.9,5.7,x
1652785635004.6,195.5,,39,4.8,x
1652785635021.4,197.4,,39,4,x
1652785635038,198.4,,39,3.5,x
1652785635054.9,200.5,,39,2.3,x
1652785635071,201.6,,39,1.7,x
1652785635088.3,203.5,,38.9,0.3,x
1652785635105,205.1,,38.9,-0.8,x
1652785635120.9,206.2,,38.9,-1.4,x
1652785635138.9,207.2,,39,-1.6,x
1652785635154.9,207.7,,39.1,-1.6,x
1652785635171.8,208.6,,39.5,-1.7,x
1652785635187.7,209.4,,39.8,-1.9,x
1652785635205.5,209.8,,40,-2,x
1652785635221.7,210.5,,40.1,-2.3,x
1652785635237.6,210.8,,40,-2.4,x
1652785635255.2,211,,39.5,-2.1,x
1652785635272.1,211,,39.2,-1.9,x
1652785635288.5,210.8,,38.5,-1.4,x
1652785635304.9,210.6,,37.9,-1,x
1652785635321.7,210.4,,37.7,-1,x
1652785635338.8,209.9,,37.4,-1,x
1652785635354.3,209.5,,37.2,-1,x
1652785635372,209.1,,37.2,-0.8,x
1652785635388.3,208.9,,37.2,-0.7,x
1652785635404.9,208.7,,37.1,-0.8,x
1652785635421,208.3,,36.8,-0.9,x
1652785635438.9,208.2,,36.5,-1,x
1652785635455.1,207.7,,36.1,-0.9,x
1652785635471.8,207.2,,35.7,-0.6,x
1652785635489,207.3,,35.4,-0.4,x
1652785635505.1,207.5,,35.4,-0.4,x
1652785635521.7,208.1,,35.5,-0.7,x
1652785635537.7,208.4,,35.7,-0.9,x
1652785635563.1,207.9,,35.7,-0.4,x
1652785635587.5,205.8,,35,2.2,x
1652785635605.2,205,,34.6,3.5,x
1652785635621.6,203.8,,33.8,6.4,x
1652785635638.2,203.2,,32.8,8.8,x
1652785635655.6,202.8,,32.2,9.8,x
1652785635672.1,202.6,,32,9.8,x
1652785635688.8,202.1,,32.2,9.5,x
1652785635705.1,201.6,,32.9,9.2,x
1652785635722.8,201.2,,33.9,9.2,x
1652785635738.3,201,,34.5,9.3,x
1652785635755,200.5,,35.4,9.4,x
1652785635770.9,200.3,,36,9.4,x
1652785635787.5,,200.3,36.1,9.3,x
1652785635804.8,,200.2,35.8,9.3,x
1652785635821.4,,200.3,35.3,9.9,x
1652785635838.3,,200.8,34.6,10.7,x
1652785635854.8,,201.2,34.4,11.1,x
1652785635871.6,,202.3,34.1,11.6,x
1652785635887.6,,203.4,34.2,11.8,x
1652785635906.3,,204.1,34.3,11.8,x
1652785635921.6,,205.3,34.7,11.7,x
1652785635937.6,,206.7,34.9,11.6,x
1652785635955.5,,207.3,34.9,11.6,x
1652785635971.6,,208.7,34.9,11.7,x
1652785635988.3,,210,34.7,11.7,x
1652785636004.3,,211.2,34.7,11.6,x
1652785636022.9,,211.8,34.7,11.6,x
1652785636038.2,,212.7,34.6,11.4,x
1652785636054.2,,213.5,34.5,11.3,x
1652785636072.6,,214,34.1,11.2,x
1652785636088.3,,214.2,33.8,11.2,x
1652785636105.4,,214.9,33.2,11.3,x
1652785636121.5,,216,32.6,11,x
1652785636139.4,,216.8,32.2,10.7,x
1652785636154.9,,218.4,31.3,9.8,x
1652785636170.9,,219.9,30.5,9.1,x
1652785636187.8,,220.7,30.2,8.8,x
1652785636205.4,,222,29.9,8.6,x
1652785636221.7,,223,30.3,8.8,x
1652785636237.6,,224.1,31,9,x
1652785636256.4,,225.5,31.8,8.8,x
1652785636271.6,,226.3,32.1,8.5,x
1652785636288.4,,228,32.7,7.8,x
1652785636304.4,,228.8,32.9,7.4,x
1652785636321.8,,230.3,33.6,6.6,x
1652785636337.9,,231.8,34.2,5.8,x
1652785636354.3,,233.2,34.7,5.4,x
1652785636373.1,,234.4,35,5.2,x
1652785636388.7,,235,35.2,5.2,x
1652785636404.3,,236.1,35.6,5.3,x
1652785636421.6,,237.1,36.1,5.2,x
1652785636438.3,,237.7,36.4,5.1,x
1652785636454.9,,238.8,36.8,4.8,x
1652785636470.9,,240,37.1,4.5,x
1652785636493,,241.1,37.5,4.3,x
1652785636520.9,,242.6,38.3,4.1,x
1652785636538.6,,243.4,38.9,3.9,x
1652785636555.5,,243.9,39.2,3.8,x
1652785636571.7,,244.7,39.7,3.4,x
1652785636587.6,,245.5,40.2,3.1,x
1652785636605.9,,245.8,40.5,2.9,x
1652785636622,,246.3,40.9,2.8,x
1652785636637.6,,246.5,41,3,x
1652785636654.2,,246.4,41.1,3.2,x
1652785636671.7,,246.2,41,3.8,x
1652785636688.2,,245.7,41.1,4.7,x
1652785636705.3,,245.1,41.1,5.5,x
1652785636722.7,,244.4,40.9,6.3,x
1652785636738.3,,243.9,40.8,6.8,x
1652785636754.9,,243,40.4,8,x
1652785636770.9,,242.1,39.7,9.5,x
1652785636789.8,,241.6,38.9,10.7,x
1652785636804.9,,241.6,38.5,11.1,x
1652785636821.8,,241.9,37.6,11.6,x
1652785636839.6,,242.4,36.9,12,x
1652785636854.9,,242.6,36.7,12.1,x
1652785636871.8,,243,36.6,12.3,x
1652785636887.9,,243.4,36.9,12.2,x
1652785636905.3,,243.6,37.1,12.1,x
1652785636921.2,,244.4,37.6,11.7,x
1652785636937.5,,245.4,38.1,10.8,x
1652785636954.7,,246.4,38.7,9.8,x
1652785636971.7,,246.8,39.1,9.2,x
1652785636987.8,,247.6,39.6,8.2,x
1652785637004.2,,248.2,39.9,7.5,x
1652785637022.3,,248.5,40,7.1,x
1652785637038.3,,248.6,39.9,7.1,x
1652785637054.6,,248.6,39.6,7,x
1652785637071.4,,248.6,39.2,6.8,x
1652785637088.3,,248.6,38.9,6.6,x
1652785637104.5,,248.5,38.6,6,x
1652785637120.8,,248.5,38.3,5.3,x
1652785637139,,248.6,38.2,4.3,x
1652785637154.5,,248.7,38.2,3.7,x
1652785637171.2,,248.8,38.5,2.1,x
1652785637187.9,,248.8,38.9,0.2,x
1652785637205,,248.8,39,-0.8,x
1652785637221.1,,248.8,39.3,-2.8,x
1652785637237.5,,248.5,39.5,-4.4,x
1652785637255.3,,248.2,39.5,-4.8,x
1652785637271.2,,247.5,39.7,-4.8,x
1652785637287.5,,246.7,39.9,-4.4,x
1652785637304.8,,245.9,40.1,-3.8,x
1652785637321.7,,245.5,40.1,-3.6,x
1652785637337.9,,244.7,40,-3.3,x
1652785637354.1,,243.8,40,-3,x
1652785637371.9,,243.1,40.1,-2.6,x
1652785637388,,241.9,40.5,-1,x
1652785637404.2,,241.6,41.1,0.9,x
1652785637428.7,,242.7,41.7,1.4,x
1652785637438.1,,243.4,41.9,1.2,x
1652785637454.2,,244.6,41.8,0.4,x
1652785637470.9,,244.9,41.6,-0.3,x
1652785637489.4,,243.5,41,-1.2,x
1652785637505.3,,242.6,40.9,-1,x
1652785637520.8,,240.6,40.8,-0.4,x
1652785637538.4,,239.7,40.8,-0.1,x
1652785637555.5,,238.4,40.8,0.5,x
1652785637571.8,,237.5,41,1,x
1652785637587.5,,237,41.2,1.2,x
1652785637605.3,,235.4,41.7,1.6,x
1652785637621.8,,234.8,41.7,1.7,x
1652785637637.7,,233.7,41.5,1.7,x
1652785637654.8,,232.9,40.9,1.5,x
1652785637671.6,,232.6,40.4,1.4,x
1652785637687.8,,232.2,39.5,1.2,x
1652785637705.3,,232.2,38.9,0.9,x
1652785637720.8,,232.2,38.6,0.6,x
1652785637738.4,,232.3,38.4,0.1,x
1652785637754.1,,232.6,38.1,-0.7,x
1652785637771.7,,233.1,37.8,-1.9,x
1652785637788.2,,233.4,37.6,-2.6,x
1652785637804.8,,234.2,37.3,-4.2,x
1652785637820.9,,235.1,37,-5.8,x
1652785637838.7,,235.5,37,-6.4,x
1652785637854.8,,236.2,37.1,-7.2,x
1652785637871.6,,237,37.5,-7.6,x
1652785637889.2,,238,37.8,-8.1,x
1652785637904.8,,238.5,37.9,-8.4,x
1652785637921.6,,239.5,38.1,-8.9,x
1652785637937.5,,240.4,38.5,-9,x
1652785637956.2,,241.1,38.9,-8.8,x
1652785637971.5,,241.4,39.1,-8.7,x
1652785637988.2,,242,39.5,-8.2,x
1652785638005.9,,242.6,39.6,-8,x
1652785638021.6,,243,39.6,-8,x
1652785638038.1,,244,39.7,-8.4,x
1652785638054.2,,245,40.1,-8.9,x
1652785638072,,245.5,40.4,-9.1,x
1652785638088.2,,246.7,41.2,-9.3,x
1652785638104.8,,248,41.8,-9.7,x
1652785638122.7,,248.9,41.8,-10.2,x
1652785638138.3,,249.2,41.6,-10.3,x
1652785638154.8,,249.6,41,-10.2,x
1652785638170.8,,249.8,40.4,-9.6,x
1652785638188.7,,249.9,40.2,-9.2,x
1652785638204.8,,250.3,40.3,-8.2,x
1652785638221.7,,251.1,40.7,-7.2,x
1652785638238.8,,252.3,41.3,-6.4,x
1652785638255.1,,253,41.5,-6.2,x
1652785638271.4,,254.6,41.8,-6,x
1652785638287.9,,256.7,41.9,-6.3,x
1652785638306.2,,259.2,42,-7,x
1652785638321.4,,260.5,42,-7.5,x
1652785638341,,263.1,42,-8.4,x
1652785638354.2,,264.4,42.1,-8.8,x
1652785638371.6,,266.6,42,-9.6,x
1652785638387.7,,268.5,41.6,-10,x
1652785638404.4,,270.3,40.8,-10.1,x
1652785638421.8,,271.9,39.9,-9.8,x
1652785638438.2,,272.8,39.4,-9.6,x
1652785638454.4,,274.4,38.7,-9.3,x
1652785638470.8,,276.2,38.3,-9,x
1652785638488.8,,277.2,38.1,-9,x
1652785638505,,279.4,37.9,-9.1,x
1652785638520.7,,281.6,37.8,-9.5,x
1652785638538,,282.7,37.8,-9.8,x
1652785638554.4,,284.7,37.5,-10.2,x
1652785638571.1,,286.5,36.9,-10.3,x
1652785638588.6,288.1,,36,-9.9,x
1652785638604.9,288.8,,35.5,-9.5,x
1652785638621.1,290.3,,34.8,-8.6,x
1652785638637.8,291.8,,34.5,-7.6,x
1652785638654.3,293.6,,34.3,-6.7,x
1652785638671.7,294.6,,34.3,-6.4,x
1652785638687.5,296.7,,34.2,-6,x
1652785638704.1,298.9,,34.1,-5.9,x
1652785638721.7,300,,34.1,-5.8,x
1652785638737.8,302.1,,34,-5.8,x
1652785638754.1,304.2,,33.9,-5.7,x
1652785638771.1,305.2,,33.8,-5.7,x
1652785638787.8,307.1,,33.5,-5.7,x
1652785638804.4,308.7,,33.3,-5.8,x
1652785638820.7,310.3,,33,-5.8,x
1652785638838.2,311,,32.9,-5.8,x
1652785638854.4,312.4,,32.7,-5.7,x
1652785638870.7,313.9,,32.6,-5.7,x
1652785638887.9,314.6,,32.6,-5.7,x
1652785638904.9,316,,32.8,-5.6,x
1652785638920.7,317.5,,33,-5.7,x
1652785638937.4,319,,33.2,-5.8,x
1652785638954.9,319.7,,33.2,-5.8,x
1652785638971.1,321.1,,33.5,-5.7,x
1652785638987.8,322.6,,34.1,-5.9,x
1652785639004.5,323.4,,34.5,-5.9,x
1652785639021.7,324.8,,35.5,-5.4,x
1652785639037.8,326,,36.6,-4.4,x
1652785639054.1,327.3,,37.5,-3.3,x
1652785639070.7,327.9,,37.7,-3,x
1652785639087.8,329.2,,37.8,-2.8,x
1652785639104.1,330.5,,37.4,-3.2,x
1652785639121.1,331.7,,36.8,-3.6,x
1652785639138.3,332.2,,36.5,-3.6,x
1652785639154.4,333,,36.3,-3.2,x
1652785639170.7,333.9,,36.6,-2.4,x
1652785639188.9,335,,37.1,-1.7,x
1652785639204.4,335.7,,37.4,-1.5,x
1652785639220.7,337.2,,38,-1.5,x
1652785639237.9,339.1,,38.6,-2.1,x
1652785639254.9,340.2,,38.9,-2.5,x
1652785639272.9,342.5,,39.3,-3.4,x
1652785639287.4,344.8,,39.9,-4.1,x
1652785639305.2,345.8,,40.2,-4.4,x
1652785639321.1,347.7,,40.9,-4.9,x
1652785639337.4,348.9,,41.4,-5.1,x
1652785639354,349.8,,41.7,-5.1,x
1652785639370.7,349.9,,41.7,-5,x
1652785639387.5,349.8,,41.5,-3.9,x
1652785639404.1,349.6,,41,-2,x
1652785639422.2,349.8,,40,0,x
1652785639437.7,350,,39.4,1,x
1652785639454.1,350.7,,37.9,2.4,x
1652785639471.1,351.4,,36.5,3.2,x
1652785639488.2,351.7,,35.9,3.6,x
1652785639504.5,352.3,,35.1,4.7,x
1652785639520.7,353.2,,35.1,6.1,x
1652785639538.8,354.2,,35.6,7.3,x
1652785639554.4,354.6,,35.9,7.7,x
1652785639571.1,354.6,,36.6,8.2,x
1652785639587.8,354.1,,37.1,9.1,x
1652785639604.8,353.8,,37.2,9.8,x
1652785639621,353.6,,37.2,11.7,x
1652785639637.4,354.1,,37.2,13.5,x
1652785639655.3,354.4,,37.3,14,x
1652785639671.5,354.9,,37.4,14.5,x
1652785639687.8,355,,37.6,14.6,x
1652785639704.7,355.2,,37.7,14.8,x
1652785639721.6,355.3,,37.8,15,x
1652785639737.6,355.8,,38,15.3,x
1652785639754.1,356.4,,38.2,15.7,x
1652785639772.2,357.3,,38.7,15.5,x
1652785639787.7,357.9,,39,15,x
1652785639804.4,358.9,,39.8,13.1,x
1652785639820.7,359.9,,40.6,10.8,x
1652785639838.2,0.3,,41,9.7,x
1652785639854.4,1.2,,41.5,7.5,x
1652785639870.7,2,,41.6,5.8,x
1652785639888.2,2.3,,41.5,5.2,x
1652785639904.4,3,,41.1,4.3,x
1652785639921,3.4,,40.5,3.7,x
1652785639937.9,3.3,,40.1,3.4,x
1652785639954.8,3,,40,3.3,x
1652785639971.1,2.3,,40.1,3.5,x
