time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658433880806,359.76,29.84,0.9,x
1658433880823,359.77,29.8,0.96,x
1658433880839,359.77,29.79,0.98,x
1658433880856,359.73,29.78,1,x
1658433880873,359.73,29.78,1.03,x
1658433880889,359.74,29.78,1.04,x
1658433880906,359.75,29.78,1.05,x
1658433880922,359.76,29.79,1.07,x
1658433880939,359.77,29.78,1.07,x
1658433880956,359.78,29.76,1.09,x
1658433880973,359.79,29.74,1.11,x
1658433880990,359.8,29.72,1.14,x
1658433881006,359.81,29.71,1.18,x
1658433881023,359.81,29.69,1.21,x
1658433881040,359.81,29.67,1.23,x
1658433881056,359.8,29.66,1.24,x
1658433881073,359.8,29.61,1.27,x
1658433881090,359.79,29.59,1.31,x
1658433881106,359.79,29.57,1.33,x
1658433881123,359.79,29.55,1.36,x
1658433881140,359.79,29.54,1.38,x
1658433881156,359.78,29.54,1.39,x
1658433881173,359.78,29.51,1.4,x
1658433881190,359.78,29.49,1.42,x
1658433881205,359.78,29.47,1.45,x
1658433881223,359.78,29.43,1.47,x
1658433881240,359.78,29.41,1.48,x
1658433881256,359.77,29.38,1.5,x
1658433881273,359.76,29.34,1.54,x
1658433881290,359.76,29.33,1.56,x
1658433881306,359.76,29.33,1.57,x
1658433881323,359.75,29.32,1.62,x
1658433881340,359.74,29.3,1.67,x
1658433881356,359.74,29.26,1.72,x
1658433881373,359.74,29.21,1.77,x
1658433881389,359.74,29.19,1.79,x
1658433881406,359.74,29.2,1.81,x
1658433881423,359.74,29.22,1.82,x
1658433881440,359.74,29.22,1.83,x
1658433881456,359.74,29.22,1.85,x
1658433881473,359.74,29.22,1.84,x
1658433881490,359.74,29.23,1.85,x
1658433881506,359.74,29.23,1.86,x
1658433881523,359.75,29.23,1.87,x
1658433881540,359.75,29.22,1.88,x
1658433881556,359.74,29.22,1.89,x
1658433881573,359.74,29.22,1.92,x
1658433881589,359.74,29.22,1.95,x
1658433881606,359.74,29.23,1.97,x
1658433881623,359.74,29.24,2,x
1658433881640,359.75,29.25,2.01,x
1658433881656,359.75,29.26,2.04,x
1658433881673,359.75,29.25,2.07,x
1658433881690,359.76,29.25,2.08,x
1658433881706,359.76,29.25,2.12,x
1658433881723,359.76,29.23,2.2,x
1658433881740,359.75,29.23,2.23,x
1658433881756,359.76,29.23,2.25,x
1658433881780,359.76,29.22,2.29,x
1658433881790,359.75,29.21,2.31,x
1658433881806,359.74,29.19,2.3,x
1658433881823,359.72,29.18,2.27,x
1658433881839,359.71,29.16,2.23,x
1658433881856,359.7,29.14,2.18,x
1658433881873,359.68,29.1,2.12,x
1658433881890,359.65,29.09,2.1,x
1658433881906,359.62,29.08,2.11,x
1658433881923,359.58,29.07,2.1,x
1658433881940,359.55,29.07,2.11,x
1658433881956,359.52,29.07,2.14,x
1658433881973,359.52,29.09,2.14,x
1658433881989,359.53,29.11,2.11,x
1658433882006,359.53,29.13,2.08,x
1658433882023,359.55,29.12,2.05,x
1658433882040,359.57,29.11,2.02,x
1658433882056,359.58,29.1,2,x
1658433882073,359.59,29.09,1.97,x
1658433882089,359.59,29.07,1.97,x
1658433882106,359.59,29.05,1.96,x
1658433882123,359.59,29.04,1.94,x
1658433882140,359.59,29.04,1.91,x
1658433882156,359.58,29.03,1.89,x
1658433882173,359.58,29,1.9,x
1658433882190,359.59,28.99,1.9,x
1658433882205,359.59,28.99,1.87,x
1658433882223,359.6,29.01,1.84,x
1658433882240,359.6,29.01,1.84,x
1658433882256,359.59,29.01,1.84,x
1658433882273,359.58,29,1.82,x
1658433882290,359.58,28.99,1.81,x
1658433882306,359.58,28.97,1.81,x
1658433882323,359.57,28.94,1.82,x
1658433882340,359.57,28.93,1.83,x
1658433882356,359.57,28.92,1.84,x
1658433882373,359.56,28.92,1.84,x
1658433882390,359.55,28.91,1.84,x
1658433882406,359.55,28.89,1.84,x
1658433882423,359.55,28.89,1.83,x
1658433882440,359.55,28.9,1.83,x
1658433882456,359.56,28.9,1.84,x
1658433882473,359.56,28.93,1.83,x
1658433882489,359.56,28.94,1.82,x
1658433882506,359.56,28.95,1.82,x
1658433882523,359.56,28.94,1.84,x
1658433882539,359.56,28.94,1.84,x
1658433882556,359.56,28.96,1.84,x
1658433882573,359.56,28.99,1.82,x
1658433882589,359.56,28.99,1.83,x
1658433882606,359.56,28.98,1.84,x
1658433882623,359.56,28.99,1.83,x
1658433882640,359.55,28.98,1.83,x
1658433882656,359.56,28.98,1.85,x
1658433882673,359.56,28.99,1.85,x
1658433882689,359.56,29,1.83,x
1658433882713,359.56,28.99,1.83,x
1658433882723,359.56,28.97,1.85,x
1658433882740,359.56,28.97,1.83,x
1658433882756,359.56,28.98,1.81,x
1658433882773,359.55,28.97,1.81,x
1658433882790,359.55,28.94,1.82,x
1658433882806,359.55,28.92,1.82,x
1658433882823,359.54,28.92,1.8,x
1658433882839,359.54,28.92,1.79,x
1658433882856,359.54,28.91,1.79,x
1658433882873,359.54,28.91,1.79,x
1658433882889,359.55,28.91,1.79,x
1658433882906,359.54,28.91,1.8,x
1658433882923,359.54,28.89,1.81,x
1658433882940,359.54,28.89,1.8,x
1658433882956,359.55,28.89,1.78,x
1658433882973,359.55,28.88,1.79,x
1658433882990,359.54,28.86,1.8,x
1658433883006,359.54,28.84,1.81,x
1658433883023,359.54,28.83,1.79,x
1658433883039,359.54,28.83,1.78,x
1658433883055,359.54,28.82,1.79,x
1658433883073,359.53,28.81,1.8,x
1658433883090,359.54,28.81,1.8,x
1658433883106,359.54,28.82,1.8,x
1658433883123,359.54,28.82,1.81,x
1658433883140,359.54,28.81,1.81,x
1658433883156,359.54,28.81,1.83,x
1658433883173,359.54,28.8,1.83,x
1658433883190,359.54,28.8,1.82,x
1658433883206,359.54,28.81,1.81,x
1658433883223,359.54,28.8,1.83,x
1658433883240,359.54,28.79,1.84,x
1658433883256,359.53,28.78,1.85,x
1658433883273,359.54,28.78,1.86,x
1658433883290,359.54,28.78,1.86,x
1658433883306,359.54,28.81,1.83,x
1658433883323,359.54,28.82,1.83,x
1658433883340,359.54,28.81,1.85,x
1658433883356,359.54,28.81,1.86,x
1658433883373,359.53,28.81,1.86,x
1658433883390,359.54,28.82,1.85,x
1658433883406,359.54,28.82,1.85,x
1658433883423,359.54,28.82,1.85,x
1658433883439,359.54,28.81,1.85,x
1658433883456,359.54,28.81,1.84,x
1658433883473,359.54,28.8,1.83,x
1658433883490,359.54,28.79,1.84,x
1658433883506,359.54,28.79,1.84,x
1658433883523,359.54,28.8,1.82,x
1658433883539,359.54,28.8,1.82,x
1658433883555,359.54,28.8,1.83,x
1658433883573,359.54,28.8,1.83,x
1658433883590,359.54,28.81,1.82,x
1658433883606,359.55,28.82,1.81,x
1658433883628,359.55,28.81,1.81,x
1658433883639,359.55,28.81,1.81,x
1658433883656,359.55,28.81,1.81,x
1658433883673,359.56,28.82,1.82,x
1658433883689,359.56,28.84,1.83,x
1658433883706,359.57,28.86,1.82,x
1658433883723,359.58,28.87,1.81,x
1658433883740,359.58,28.88,1.81,x
1658433883755,359.59,28.88,1.81,x
1658433883773,359.59,28.89,1.83,x
1658433883789,359.59,28.89,1.85,x
1658433883806,359.6,28.91,1.85,x
1658433883823,359.6,28.93,1.83,x
1658433883839,359.61,28.94,1.83,x
1658433883856,359.62,28.94,1.82,x
1658433883873,359.62,28.94,1.82,x
1658433883890,359.63,28.94,1.82,x
1658433883906,359.64,28.95,1.81,x
1658433883923,359.64,28.95,1.79,x
1658433883939,359.65,28.96,1.78,x
1658433883956,359.67,28.99,1.75,x
1658433883973,359.68,29.01,1.73,x
1658433883989,359.68,29.01,1.72,x
1658433884006,359.68,29,1.72,x
1658433884023,359.68,29,1.7,x
1658433884039,359.69,29.01,1.67,x
1658433884056,359.69,29.02,1.65,x
1658433884073,359.7,29.02,1.66,x
1658433884089,359.7,29.03,1.68,x
1658433884106,359.7,29.04,1.68,x
1658433884123,359.7,29.05,1.66,x
1658433884139,359.71,29.06,1.65,x
1658433884156,359.72,29.09,1.63,x
1658433884173,359.72,29.1,1.63,x
1658433884189,359.73,29.1,1.62,x
1658433884206,359.72,29.11,1.62,x
1658433884223,359.72,29.13,1.62,x
1658433884239,359.73,29.18,1.6,x
1658433884256,359.74,29.21,1.58,x
1658433884273,359.74,29.22,1.57,x
1658433884289,359.75,29.24,1.57,x
1658433884306,359.77,29.28,1.54,x
1658433884323,359.77,29.35,1.53,x
1658433884339,359.78,29.41,1.52,x
1658433884356,359.81,29.5,1.49,x
1658433884373,359.82,29.58,1.45,x
1658433884389,359.84,29.67,1.4,x
1658433884406,359.88,29.79,1.31,x
1658433884423,359.89,29.9,1.24,x
1658433884440,359.9,29.98,1.16,x
1658433884456,359.92,30.06,1.05,x
1658433884473,359.94,30.08,0.93,x
1658433884490,359.95,30.1,0.79,x
1658433884506,359.96,30.19,0.54,x
1658433884523,359.99,30.32,0.3,x
1658433884539,0.02,30.45,0.01,x
1658433884562,0.05,30.62,-0.38,x
1658433884573,0.06,30.75,-0.63,x
1658433884590,0.05,30.87,-0.86,x
1658433884606,0.04,30.97,-1.08,x
1658433884623,0.03,31.02,-1.19,x
1658433884639,0.02,31.05,-1.26,x
1658433884656,0.01,31.06,-1.31,x
1658433884673,0.01,31.06,-1.31,x
1658433884689,0.01,31.07,-1.33,x
1658433884706,0,31.07,-1.38,x
1658433884723,0,31.07,-1.42,x
1658433884739,360,31.06,-1.45,x
1658433884756,359.99,31.02,-1.43,x
1658433884773,359.98,30.99,-1.41,x
1658433884789,359.98,30.98,-1.42,x
1658433884806,359.98,30.99,-1.45,x
1658433884823,359.98,31.01,-1.47,x
1658433884839,359.97,31.01,-1.48,x
1658433884856,359.97,31,-1.48,x
1658433884873,359.97,31,-1.49,x
1658433884889,359.97,31.01,-1.51,x
1658433884906,359.97,31.01,-1.52,x
1658433884923,359.97,31.02,-1.54,x
1658433884939,359.98,31.03,-1.55,x
1658433884956,359.98,31.04,-1.57,x
1658433884973,359.98,31.05,-1.58,x
1658433884990,359.98,31.06,-1.59,x
1658433885006,359.98,31.06,-1.59,x
1658433885023,359.98,31.07,-1.61,x
1658433885039,359.98,31.09,-1.63,x
1658433885056,359.97,31.1,-1.63,x
1658433885073,359.96,31.08,-1.61,x
1658433885089,359.96,31.06,-1.61,x
1658433885106,359.96,31.06,-1.63,x
1658433885123,359.95,31.07,-1.66,x
1658433885139,359.93,31.08,-1.68,x
1658433885156,359.92,31.07,-1.68,x
1658433885173,359.92,31.07,-1.7,x
1658433885189,359.92,31.09,-1.74,x
1658433885206,359.89,31.17,-1.88,x
1658433885223,359.86,31.29,-2.1,x
1658433885240,359.84,31.43,-2.38,x
1658433885256,359.78,31.65,-2.91,x
1658433885273,359.68,31.98,-3.69,x
1658433885289,359.57,32.54,-4.96,x
1658433885306,359.5,33.66,-7.36,x
1658433885323,359.47,34.63,-9.45,x
1658433885339,359.47,35.54,-11.5,x
1658433885356,359.49,36.55,-13.83,x
1658433885373,359.45,37.08,-15.05,x
1658433885389,359.34,37.35,-15.66,x
1658433885406,359.1,37.24,-15.22,x
1658433885423,358.84,36.77,-13.79,x
1658433885440,358.48,35.87,-11.3,x
1658433885456,357.91,33.7,-6.2,x
1658433885473,357.74,31.15,-1.43,x
1658433885495,358.15,28.04,3.43,x
1658433885506,359.39,23.82,8.89,x
1658433885523,0.42,21.19,12.24,x
1658433885540,1.29,19.2,14.7,x
1658433885555,1.82,17.38,16.27,x
1658433885573,1.55,16.66,16.19,x
1658433885589,0.81,16.51,15.09,x
1658433885606,359.37,17.43,12.4,x
1658433885623,358.34,19.05,9.59,x
1658433885640,357.56,21.33,6.08,x
1658433885656,356.9,24.9,0.89,x
1658433885673,356.6,27.48,-2.75,x
1658433885689,356.33,29.64,-5.65,x
1658433885706,356.04,31.4,-7.76,x
1658433885723,355.97,31.69,-7.89,x
1658433885740,356.05,31.27,-7.11,x
1658433885756,356.32,30.18,-5.41,x
1658433885773,356.66,29.28,-3.85,x
1658433885788,357.13,28.27,-2.01,x
1658433885806,357.93,26.82,0.63,x
1658433885823,358.49,25.91,2.25,x
1658433885839,358.77,25.42,3.2,x
1658433885856,358.61,25.8,2.89,x
1658433885873,358.25,26.87,1.47,x
1658433885889,357.88,28.24,-0.59,x
1658433885906,357.4,29.97,-3.34,x
1658433885923,357.1,30.76,-4.77,x
1658433885940,356.97,30.97,-5.4,x
1658433885956,357.01,30.56,-5.11,x
1658433885973,357.09,30.08,-4.42,x
1658433885990,357.17,29.71,-3.73,x
1658433886006,357.3,29.5,-3.14,x
1658433886023,357.34,29.57,-2.95,x
1658433886039,357.38,29.76,-2.91,x
1658433886056,357.43,29.99,-2.97,x
1658433886073,357.42,30.12,-3.09,x
1658433886090,357.4,30.2,-3.26,x
1658433886106,357.4,30.19,-3.38,x
1658433886123,357.4,30.13,-3.5,x
1658433886139,357.39,30.05,-3.61,x
1658433886156,357.37,29.95,-3.67,x
1658433886173,357.36,29.88,-3.57,x
1658433886189,357.35,29.79,-3.3,x
1658433886206,357.35,29.71,-3.09,x
1658433886223,357.35,29.64,-2.85,x
1658433886239,357.36,29.54,-2.59,x
1658433886256,357.42,29.39,-2.28,x
1658433886272,357.46,29.32,-2.13,x
1658433886290,357.51,29.28,-2.03,x
1658433886306,357.54,29.28,-2.02,x
1658433886323,357.56,29.28,-2,x
1658433886340,357.58,29.25,-1.93,x
1658433886356,357.59,29.22,-1.89,x
1658433886373,357.58,29.21,-1.9,
1658433886389,357.57,29.3,-2.04,
1658433886412,357.58,29.4,-2.2,
1658433886422,357.59,29.47,-2.33,
1658433886439,357.6,29.49,-2.38,
1658433886456,357.61,29.47,-2.37,
1658433886473,357.61,29.48,-2.4,
1658433886490,357.63,29.56,-2.52,
1658433886505,357.63,29.65,-2.65,
1658433886523,357.65,29.75,-2.8,
1658433886539,357.68,29.87,-2.98,
1658433886556,357.68,29.94,-3.07,
1658433886573,357.68,29.98,-3.11,
1658433886590,357.67,30,-3.12,
1658433886606,357.68,30,-3.15,
1658433886623,357.68,30.02,-3.23,
1658433886639,357.7,30.04,-3.33,
1658433886656,357.72,30.05,-3.39,
1658433886673,357.72,30.05,-3.34,
1658433886689,357.71,30.04,-3.28,
1658433886706,357.71,30.06,-3.24,
1658433886723,357.71,30.08,-3.22,
1658433886739,357.72,30.13,-3.19,
1658433886756,357.72,30.2,-3.17,
1658433886773,357.72,30.27,-3.19,
1658433886789,357.75,30.38,-3.23,
1658433886806,357.77,30.48,-3.26,
1658433886823,357.78,30.56,-3.3,
1658433886839,357.79,30.62,-3.33,
1658433886856,357.8,30.69,-3.3,
1658433886873,357.81,30.68,-3.27,
1658433886903,357.82,30.27,-3.29,
1658433886905,357.83,30.23,-3.27,
1658433886923,357.86,30.21,-3.14,
1658433886939,357.87,30.41,-2.86,
1658433886958,357.84,30.62,-2.7,
1658433886976,357.8,30.74,-2.63,
1658433886989,357.77,30.61,-2.65,
1658433887006,357.74,30.38,-2.66,
