time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285092989.6,15.5,35.3,-0.2,
1664285093004.4,15.8,35.3,-0.2,x
1664285093037.7,17.6,38.6,-2.3,x
1664285093054.4,17.8,39.1,-2.6,x
1664285093071.1,18.3,39.9,-3.2,x
1664285093088.9,18.6,40.5,-3.6,x
1664285093104.9,18.7,40.8,-3.7,x
1664285093121.3,18.8,41.1,-4,x
1664285093137.7,18.5,41.4,-4.2,x
1664285093171.3,18.1,41.6,-4.3,x
1664285093187.9,17.8,41.7,-4.4,x
1664285093204.8,17.5,41.7,-4.4,x
1664285093221.4,16.7,41.8,-4.5,x
1664285093237.7,16.3,41.8,-4.5,x
1664285093255.3,15.9,41.9,-4.5,x
1664285093271.5,16.2,41.9,-4.6,x
1664285093287.8,16.5,41.9,-4.6,x
1664285093304.6,17,41.9,-4.6,x
1664285093321.3,17.3,41.9,-4.6,x
1664285093338.1,17.5,41.9,-4.6,x
1664285093355.1,17.6,41.9,-4.6,x
1664285093371.4,17.9,42,-4.6,x
1664285093405.6,18.3,42,-4.6,x
1664285093421,17.5,38,-3.1,x
1664285093437.8,17.2,35,-2.4,x
1664285093454.3,17.2,34.1,-2.2,x
1664285093471,17.3,33.2,-2.1,x
1664285093487.8,17.2,33,-1.9,x
1664285093504.3,16.8,33.4,-1.2,x
1664285093521.1,16.3,34.3,-0.7,x
1664285093537.7,16.4,35,-1.2,x
1664285093554.3,17.3,36.7,-3.1,x
1664285093571.1,17.5,38.1,-3.5,x
1664285093587.7,17.3,38.8,-2.9,x
1664285093604.3,15.8,40,0,x
1664285093621.1,13.9,40.3,2.9,x
1664285093637.8,12.9,39.9,4.1,x
1664285093654.4,11.2,39.2,5.8,x
1664285093677.1,10.5,38.8,6.1,x
1664285093687.7,10.7,38.3,5.6,x
1664285093704.8,11.8,36.4,3.8,x
1664285093721.1,12.9,34.4,1.4,x
1664285093737.8,13,33,0.9,x
1664285093755.1,12.1,29.1,1.8,x
1664285093771,11.5,25.1,2.7,x
1664285093787.7,11.4,23.6,2.5,x
1664285093804.6,11.6,22,1.1,x
1664285093821,11.8,22,0,x
1664285093837.7,11.7,22.2,0.5,x
1664285093855.3,11.6,22.2,1,x
1664285093871.1,11.7,21.5,1.7,x
1664285093887.7,11.9,21,1.7,x
1664285093904.7,12.1,20.2,1.5,x
1664285093921,13.1,17.4,0.3,x
1664285093938.3,13.8,16.1,-0.8,x
1664285093954.3,14.1,15.9,-1.2,x
1664285093971.1,14.5,16.3,-1.9,x
1664285093989.5,14.6,16.4,-1.8,x
1664285094004.3,14.8,16.7,-1.8,x
1664285094020.8,14.9,17,-1.8,x
1664285094039,15.1,17.1,-1.8,x
1664285094054.3,15.1,17.1,-1.9,x
1664285094071.1,15.3,17.3,-2,x
1664285094087.7,15.3,17.4,-2,x
1664285094105.3,15.5,17.6,-2.1,x
1664285094121,15.6,17.8,-2.3,x
1664285094137.7,15.7,18,-2.4,x
1664285094154.9,16,18.1,-2.5,x
1664285094171,16.3,18.2,-2.7,x
1664285094205.3,16.6,18.3,-2.9,x
1664285094220.9,16.8,18.5,-3.2,x
1664285094237.6,16.9,18.7,-3.3,x
1664285094254.7,16.9,19,-3.5,x
1664285094271.1,16.8,19.3,-3.5,x
1664285094288.6,16.7,19.4,-3.2,x
1664285094304.4,16.7,19.2,-3.1,x
1664285094352.5,17.4,18.3,-3.6,x
1664285094371.9,17.5,18.2,-3.2,x
1664285094388.3,17.6,18.3,-3,x
1664285094404.5,17.8,18.6,-2.7,x
1664285094421,18,18.9,-2.5,x
1664285094437.5,18.1,18.9,-2.4,x
1664285094454.4,18.2,18.8,-2.3,x
1664285094470.9,18.3,18.4,-2.2,x
1664285094487.6,18.4,17.9,-2,x
1664285094505.1,18.5,17.7,-1.9,x
1664285094520.8,18.5,17.6,-1.7,x
1664285094538.1,18.4,17.9,-1.4,x
1664285094554.3,18.3,18.1,-1.2,x
1664285094571.1,18.3,18.5,-1.1,x
1664285094587.9,18.3,19,-1.2,x
1664285094604.3,18.3,19.2,-1.2,x
1664285094620.9,18.4,19.6,-1.3,x
1664285094637.7,18.5,20,-1.3,x
1664285094654.1,18.5,20.1,-1.3,x
1664285094671.3,18.7,20.3,-1.4,x
1664285094687.5,18.8,20.3,-1.5,x
1664285094704.8,18.8,20.3,-1.7,x
1664285094733.3,18.9,20.3,-1.8,x
1664285094754.4,18.6,21,-1.9,x
1664285094771.1,18.5,21.5,-1.9,x
1664285094787.4,18.5,21.7,-1.9,x
1664285094820.8,18.5,21.7,-2.4,x
1664285094845,18.4,21.7,-2.7,x
1664285094855,18.1,21.5,-2.9,x
1664285094870.9,17.9,21,-2.7,x
1664285094887.6,18.1,20.5,-2.9,x
1664285094904.6,18.2,20.4,-3.1,x
1664285094920.8,18.1,20.4,-3.2,x
1664285094937.5,17.8,20.3,-2.8,x
1664285094954.2,17.7,20.2,-2.5,x
1664285094970.8,17.6,20.1,-2.3,x
1664285094987.5,17.5,20,-2.3,x
1664285095020.7,17.4,19.8,-2.2,x
1664285095037.4,17.2,19.6,-2.2,x
1664285095054,17.1,19.5,-2.1,x
1664285095070.7,16.8,19.6,-2.1,x
1664285095087.5,16.6,19.7,-2,x
1664285095104.2,16.4,19.9,-1.9,x
1664285095120.9,16.3,20.1,-1.8,x
1664285095137.6,16.2,20.4,-1.7,x
1664285095154.4,16.1,20.6,-1.7,x
1664285095171,16.2,20.8,-1.8,x
1664285095187.7,16.2,20.9,-1.8,x
1664285095221,16.5,21.2,-2.2,x
1664285095237.4,16.8,21.3,-2.4,x
1664285095254,16.9,21.4,-2.4,x
1664285095270.7,17.2,21.5,-2.7,x
1664285095296.6,17.8,21.7,-2.9,x
1664285095320.7,18.2,21.8,-3.1,x
1664285095337.4,18.7,21.9,-3.3,x
1664285095354,18.9,21.9,-3.5,x
1664285095370.8,19.3,21.9,-3.7,x
1664285095387.6,19.4,22,-3.8,x
1664285095404.8,19.6,22.4,-3.8,x
1664285095420.9,19.7,22.4,-3.4,x
1664285095437.9,20,21.3,-3.3,x
1664285095454.3,20.2,20.7,-3.5,x
1664285095470.9,20.3,19.9,-4.1,x
1664285095488.3,20.4,20,-3.9,x
1664285095504.7,20.4,20.2,-3.6,x
1664285095521,20.6,20.6,-3,x
1664285095538.7,21,20.8,-2.7,x
1664285095555.2,21.2,20.7,-2.7,x
1664285095571,21.7,20.5,-2.8,x
1664285095593.4,22.3,20.1,-3,x
1664285095604.3,22.6,19.9,-3,x
1664285095621,23.2,19.4,-3,x
1664285095637.7,23.4,19.2,-3,x
1664285095654.4,23.7,18.8,-2.9,x
1664285095671,24,18.7,-2.9,x
1664285095687.6,24.2,19.1,-2.9,x
1664285095704.4,24.3,19.3,-2.8,x
1664285095721,24.5,19.8,-2.7,x
1664285095737.6,24.7,20,-2.7,x
1664285095754.4,24.9,20.2,-2.8,x
1664285095787.6,25.1,20.3,-3,x
1664285095805,25,20.3,-3,x
1664285095821,24.9,20.4,-2.8,x
1664285095838.5,24.8,20.5,-2.7,x
1664285095854.9,24.7,20.6,-2.5,x
1664285095870.8,24.5,20.8,-2.5,x
1664285095888.4,24.2,21,-2.5,x
