time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1652892769855.2,82.9,41.8,7.9,x
1652892769871.8,83.5,41.9,5.4,x
1652892769889.9,84,42.1,3.6,x
1652892769906.1,84.1,41.8,3.1,x
1652892769922.3,84.1,41.3,2.7,x
1652892769938.6,83.7,40.9,2.8,x
1652892769956.7,83,40.4,3.2,x
1652892769972.3,82.6,40.1,3.4,x
1652892769988.5,81.8,39.6,4,x
1652892770005.8,81.2,39,4.6,x
1652892770022.8,81,38.8,4.9,x
1652892770038.9,80.8,38.7,5.2,x
1652892770055.6,80.8,38.8,5.1,x
1652892770073.2,80.8,39,5.1,x
1652892770089,80.7,39.3,5.1,x
1652892770105.3,80.6,39.5,5.3,x
1652892770122.5,80.5,39.6,5.4,x
1652892770139,80.3,39.6,5.9,x
1652892770155.8,80.3,39.4,6,x
1652892770172.5,80.2,39.4,6.1,x
1652892770189.5,80.3,39.5,6,x
1652892770205.6,80.5,39.6,5.7,x
1652892770221.9,80.9,39.9,5.2,x
1652892770240,81.5,40.2,4.5,x
1652892770255.6,81.9,40.5,4,x
1652892770272.3,82.4,40.9,2.9,x
1652892770289,82.5,41.2,2.2,x
1652892770305.7,82.5,41.3,2.1,x
1652892770338.6,82.6,41.3,2.1,x
1652892770355.9,82.6,41.3,2,x
1652892770372.6,82.5,41.5,1.6,x
1652892770388.6,82.4,41.6,1.2,x
1652892770406.6,82,41.6,1.2,x
1652892770422.9,81.8,41.5,1.4,x
1652892770438.4,81.4,41.2,1.9,x
1652892770456.3,81.2,40.9,2.4,x
1652892770473.6,81.1,40.6,2.8,x
1652892770488.6,81,40.6,2.9,x
1652892770505.3,81.1,40.6,3.1,x
1652892770539.3,81.3,40.7,3.2,x
1652892770555.2,81.5,40.8,3.3,x
1652892770573,81.7,40.7,3.6,x
1652892770589.3,81.8,40.6,3.7,x
1652892770606,82,40.4,3.9,x
1652892770622.7,82.1,40.1,4.1,x
1652892770639.7,82.2,39.9,4.5,x
1652892770656,82.3,39.8,4.9,x
1652892770672.7,82.8,39.3,5.3,x
1652892770690,83.3,38.4,5.3,x
1652892770706.2,83.5,37.9,5.4,x
1652892770722.6,83.8,37,5.1,x
1652892770738.6,83.9,36.5,4.7,x
1652892770755.5,83.9,36.4,4.4,x
1652892770772.6,83.9,36.5,4.2,x
1652892770789.2,83.8,36.8,4.1,x
1652892770809.3,83.7,37,3.9,x
1652892770822.6,83.6,37.1,3.8,x
1652892770839.5,83.4,37.1,3.9,x
1652892770872.1,83.2,37.1,3.8,x
1652892770889.1,83.2,37.2,3.6,x
1652892770906,83.2,37.3,3.3,x
1652892770922,83.2,37.5,2.9,x
1652892770939.8,83.2,37.6,2.8,x
1652892770956,83.1,37.7,2.5,x
1652892770972.8,83.1,37.7,2.3,x
1652892770989.5,83.1,37.7,2.1,x
1652892771006.4,83.1,37.7,2,x
1652892771022.6,83.2,37.7,1.8,x
1652892771038.6,83.2,37.6,1.6,x
1652892771056.5,83.2,37.6,1.5,x
1652892771072.6,83.3,37.4,1.3,x
1652892771089.3,83.2,37.4,1.2,x
1652892771123.1,83.3,37.4,1.2,x
1652892771138.6,83.3,37.4,1,x
1652892771155.1,83.4,37.5,0.8,x
1652892771173.4,83.5,37.6,0.7,x
1652892771205.9,83.6,37.7,0.6,x
1652892771239.3,83.8,37.7,0.4,x
1652892771255.9,83.8,37.7,0.2,x
1652892771272,83.8,37.6,0.1,x
1652892771306.4,83.7,37.5,0.1,x
1652892771322,83.7,37.4,0,x
1652892771356,83.6,37.4,0.1,x
1652892771372.6,83.5,37.3,0.2,x
1652892771389.5,83.5,37.4,0.3,x
1652892771438.6,83.5,37.5,0.3,x
1652892771506.1,83.4,37.5,0.5,x
1652892771524,83.4,37.5,0.6,x
1652892771555.2,83.3,37.5,0.8,x
1652892771572.6,83.3,37.4,0.9,x
1652892771589.7,83.2,37.4,1.1,x
1652892771606.2,83.1,37.3,1.2,x
1652892771621.9,83.1,37.2,1.4,x
1652892771639.9,83.1,37.1,1.4,x
1652892771655.9,83.1,37,1.5,x
1652892771671.9,83.2,36.8,1.5,x
1652892771689.9,83.3,36.8,1.5,x
1652892771722.6,83.5,36.8,1.3,x
1652892771741.9,83.6,36.8,1.2,x
1652892771755.6,83.7,36.7,1.2,x
1652892771772.6,83.8,36.7,1.1,x
1652892771788.6,83.9,36.6,1,x
1652892771805.9,83.9,36.5,1,x
1652892771823.7,83.9,36.5,1.1,x
1652892771839.3,83.8,36.5,1.2,x
1652892771873.1,83.7,36.4,1.5,x
1652892771889.2,83.5,36.4,1.8,x
1652892771906,83.4,36.5,2.1,x
1652892771922.4,83.3,36.5,2.4,x
1652892771939.3,83.2,36.5,2.5,x
1652892771955.9,83.2,36.4,2.6,x
1652892771972,83.3,36.3,2.6,x
1652892772005.9,83.5,36.3,2.5,x
1652892772022.3,84,36.3,2.2,x
1652892772038.7,84.4,36.4,1.8,x
1652892772055.7,84.6,36.5,1.7,x
1652892772072.6,84.9,36.6,1.4,x
1652892772090.1,85.2,36.7,1.1,x
1652892772106.4,85.3,36.8,0.9,x
1652892772122.5,85.4,37,0.7,x
1652892772139.2,85.4,37.1,0.6,x
1652892772156.7,85.4,37.2,0.6,x
1652892772173.9,85.1,37.2,0.7,x
1652892772189.2,85,37.2,0.8,x
1652892772205.2,84.8,37.1,0.9,x
1652892772222.5,84.5,37,1.3,x
1652892772239.2,84.1,36.8,1.6,x
1652892772255.2,83.8,36.6,1.9,x
1652892772273.3,83.8,36.5,1.7,x
1652892772290.3,84,36.4,1.4,x
1652892772306,84,36.4,1.3,x
1652892772321.9,84.1,36.3,1.2,x
1652892772340.1,84.3,36.2,1.1,x
1652892772371.7,84.5,36.3,1.1,x
1652892772388.4,84.6,36.4,1,x
1652892772422.3,84.7,36.5,1,x
1652892772438.6,84.8,36.5,1.1,x
1652892772521.7,84.8,36.4,1.1,x
1652892772538.9,84.7,36.3,1.2,x
1652892772555.2,84.6,36.2,1.3,x
1652892772572.3,84.5,36.1,1.5,x
1652892772589.7,84.4,36,1.6,x
1652892772606,84.3,35.9,1.7,x
1652892772638.6,84.3,35.7,2,x
1652892772655.9,84.2,35.6,2,x
1652892772671.8,84.2,35.5,2.1,x
1652892772691.8,84.3,35.5,2,x
1652892772722.9,84.4,35.4,2,x
1652892772821.9,84.6,35.4,1.9,x
1652892772921.8,84.5,35.4,1.9,x
1652892773021.7,84.4,35.2,2,x
1652892773038.4,84.4,35.2,2.1,x
1652892773055.9,84.4,35.2,2.2,x
1652892773105.1,84.3,35.2,2.3,x
1652892773141.6,84.2,35.2,2.4,x
1652892773155,84,35.1,3,x
1652892773172.7,83.9,35.1,3.1,x
1652892773189,83.7,35.1,3.2,x
1652892773205.1,83.5,35.3,3.3,x
1652892773223.4,83.4,35.4,3.5,x
1652892773239.1,83.3,35.4,3.6,x
1652892773255.9,83.3,35.4,3.7,x
1652892773273.3,83.2,35.4,3.8,x
1652892773289.2,83.2,35.4,3.9,x
1652892773321.8,83.2,35.5,3.9,x
1652892773339.7,83.3,35.5,3.9,x
1652892773372.6,83.5,35.5,3.8,x
1652892773395.2,83.5,35.6,3.8,x
1652892773472.6,83.4,35.6,3.9,x
1652892773538.4,83.4,35.6,3.8,x
1652892773573,83.4,35.5,3.9,x
1652892773655.8,83.3,35.4,4.1,x
1652892773772.4,83.3,35.5,4.1,x
1652892773788.5,83.2,35.5,4.2,x
1652892773823.5,83.2,35.5,4.4,x
1652892773838.5,83.1,35.4,4.5,x
1652892773856.2,83.1,35.4,4.6,x
1652892773873.6,83,35.4,4.8,x
1652892773939.1,83,35.3,5,x
1652892773972.6,83,35.2,5,x
1652892773989.1,83.1,35.2,5,x
1652892774021.8,83.2,35.3,5,x
1652892774138.5,83.1,35.4,5.1,x
1652892774157.1,83,35.3,5.2,x
1652892774172.5,82.9,35.3,5.3,x
1652892774188.4,82.8,35.3,5.5,x
1652892774206.7,82.8,35.2,5.5,x
1652892774239.2,82.9,35.1,5.4,x
1652892774255.1,82.9,35,5.4,x
1652892774273.6,82.9,34.9,5.4,x
1652892774289.1,83,34.7,5.3,x
1652892774305.1,83.1,34.6,5.3,x
1652892774323.2,83.2,34.6,5.2,x
1652892774339.8,83.3,34.6,5.2,x
1652892774355.9,83.5,34.6,5.1,x
1652892774371.8,83.7,34.7,4.9,x
1652892774389.7,83.8,34.7,4.8,x
1652892774405.9,84.1,34.8,4.6,x
1652892774421.8,84.3,34.9,4.4,x
1652892774439.6,84.5,34.9,4.2,x
1652892774456.8,84.6,34.9,4,x
1652892774488.4,84.8,34.7,3.9,x
1652892774506.4,84.9,34.7,3.8,x
1652892774522.5,85.1,34.6,3.3,x
1652892774539.1,85.3,34.7,2.4,x
1652892774558.3,85.4,35,1.5,x
1652892774571.6,85.4,35.2,1.1,x
1652892774588.9,85.3,35.3,0.8,x
1652892774605.1,85.2,35.4,0.9,x
1652892774638.4,84.9,35.3,1.3,x
1652892774656,84.8,35.3,1.6,x
1652892774672.3,84.8,35.2,2,x
1652892774689.5,84.8,35.2,2.2,x
1652892774705.6,84.9,35.1,2.6,x
1652892774722.7,85,35.1,2.9,x
1652892774740.1,85.2,35.2,3,x
1652892774755.9,85.3,35.2,3,x
1652892774772.4,85.4,35.3,2.9,x
1652892774789.2,85.6,35.5,2.9,x
1652892774821.7,85.7,35.6,2.9,x
1652892774856.9,85.7,35.6,3.1,x
1652892774889,85.6,35.5,3.1,x
1652892774905.7,85.6,35.5,3.2,x
1652892774923.8,85.6,35.4,3.2,x
1652892774939.1,85.6,35.4,3.1,x
1652892774955.1,85.6,35.4,3.2,x
1652892774989.1,85.5,35.4,3.3,x
1652892775005.8,85.5,35.4,3.4,x
1652892775022.8,85.5,35.5,3.5,x
1652892775040.5,85.5,35.5,3.6,x
1652892775071.7,85.6,35.6,3.6,x
1652892775105.8,85.8,35.7,3.6,x
1652892775122.4,85.9,35.7,3.5,x
1652892775138.4,86,35.8,3.4,x
1652892775155.8,86.1,35.8,3.4,x
1652892775172.6,86.2,36,3.3,x
1652892775188.4,86.3,36.1,3.2,x
1652892775206.3,86.3,36.1,3.1,x
1652892775222.4,86.3,36.2,3.2,x
1652892775238.8,86.2,36.2,3.2,x
1652892775255.5,86.1,36.2,3.3,x
1652892775273.5,86,36.3,3.4,x
1652892775289.1,86,36.2,3.4,x
1652892775305.7,85.8,36.2,3.5,x
1652892775322,85.7,36.2,3.6,x
1652892775339.2,85.6,36.2,3.7,x
1652892775355.1,85.5,36.2,3.9,x
1652892775373.3,85.3,36.2,4,x
1652892775389.9,85.3,36.2,4.1,x
1652892775406.2,85.2,36.2,4.2,x
1652892775439.9,85,36.1,4.2,x
1652892775506.2,85,36.2,4.4,x
1652892775521.7,85,36.2,4.3,x
1652892775538.5,85.1,36.3,4.1,x
1652892775556.5,85.2,36.3,3.8,x
1652892775573.6,85.2,36.3,3.7,x
1652892775589.1,85.2,36.3,3.6,x
1652892775606.6,85.2,36.2,3.5,x
1652892775623.5,85.2,36.1,3.4,x
1652892775639.2,85.2,36.1,3.3,x
1652892775655.1,85.2,36,3,x
1652892775689.6,85.2,36,2.8,x
1652892775706,85.2,35.9,2.6,x
1652892775722.6,85.1,35.8,2.4,x
1652892775755.7,85,35.7,2.3,x
1652892775771.8,84.9,35.7,2.1,x
1652892775806.5,84.8,35.8,2.1,x
1652892775821.8,84.7,35.9,2.2,x
1652892775839.3,84.6,36,2.5,x
1652892775856.2,84.5,36,2.7,x
1652892775872.4,84.4,35.8,3.1,x
1652892775888.8,84.4,35.7,3.6,x
1652892775906.5,84.4,35.4,3.9,x
1652892775938.4,84.6,35.1,4.1,x
1652892775955.1,84.8,35,4.1,x
1652892775973.8,85.1,34.9,4,x
1652892776005.8,85.5,35,3.7,x
1652892776022.7,85.8,35.1,3.5,x
1652892776039.1,85.9,35.2,3.4,x
1652892776055.1,86.1,35.3,3.2,x
1652892776089.7,86.2,35.4,3.1,x
1652892776105.7,86.2,35.3,3,x
1652892776121.7,86.2,35.2,2.9,x
1652892776139.4,86.3,35.1,2.8,x
1652892776172.4,86.3,35.1,2.7,x
1652892776188.4,86.4,35.2,2.6,x
1652892776206.7,86.5,35.3,2.4,x
1652892776222.4,86.6,35.4,2.4,x
1652892776238.4,86.7,35.6,2.2,x
1652892776255.8,86.7,35.7,2.2,x
1652892776272.9,86.8,36,2,x
1652892776289,86.9,36.3,1.9,x
1652892776305,86.9,36.5,1.7,x
1652892776322.9,86.9,36.7,1.7,x
1652892776339.1,86.9,36.9,1.6,x
1652892776355,86.8,37,1.6,x
1652892776372.4,86.6,37.1,1.7,x
1652892776389.7,86.5,37.1,1.7,x
1652892776409.6,86.3,37.1,1.9,x
1652892776421.6,86.1,37,2.1,x
1652892776439,85.8,36.8,2.3,x
1652892776455.8,85.7,36.7,2.4,x
1652892776471.7,85.5,36.4,2.6,x
1652892776489.9,85.4,36.2,2.8,x
1652892776506,85.3,36.1,2.8,x
1652892776521.7,85.3,36,2.9,x
1652892776538.4,85.3,35.8,3,x
1652892776572.3,85.3,35.6,3.1,x
1652892776588.3,85.4,35.5,3.1,x
1652892776606.3,85.4,35.5,3,x
1652892776622.4,85.5,35.4,3,x
1652892776639.1,85.6,35.4,2.9,x
1652892776671.7,85.7,35.3,2.8,x
1652892776689.2,85.9,35.3,2.7,x
1652892776705,86,35.3,2.6,x
1652892776723.1,86,35.2,2.4,x
1652892776739,86.1,35.2,2.4,x
1652892776755.9,86.1,35.2,2.3,x
1652892776771.6,86.1,35.2,2.2,x
1652892776789.5,86.1,35.1,2.2,x
1652892776839.7,86,35.2,2.2,x
1652892776857.1,86,35.2,2.3,x
1652892776872.3,86,35.3,2.3,x
1652892776888.4,86.1,35.3,2.3,x
1652892776939.3,86.2,35.5,2.2,x
1652892776955,86.2,35.5,2.1,x
1652892776973,86.3,35.5,2.1,x
1652892776988.8,86.3,35.6,2,x
1652892777005,86.3,35.5,2,x
1652892777055.7,86.4,35.4,1.9,x
1652892777073.7,86.5,35.4,1.8,x
1652892777105.7,86.6,35.3,1.8,x
1652892777155.7,86.7,35.3,1.6,x
1652892777172.4,86.8,35.3,1.6,x
1652892777188.8,86.8,35.3,1.5,x
1652892777239.3,87,35.4,1.3,x
1652892777288.9,86.9,35.4,1.4,x
1652892777440.3,87.1,35.3,1.3,x
1652892777522.4,87.2,35.5,1.1,x
1652892777555.7,87.2,35.4,1.1,x
1652892777588.3,87,35.3,1.2,x
1652892777672.9,86.9,35.4,1.4,x
1652892777739,86.7,35.4,1.5,x
1652892777773,86.7,35.3,1.6,x
1652892777821.6,86.8,35.4,1.6,x
1652892777856.1,86.9,35.5,1.5,x
1652892777922.3,87.1,35.5,1.3,x
1652892777989.2,87,35.4,1.3,x
1652892778022.7,86.9,35.3,1.4,x
1652892778155.7,86.8,35.2,1.5,x
1652892778171.6,86.7,35.2,1.6,x
1652892778239.2,86.6,35.2,1.7,x
1652892778271.6,86.5,35.2,1.8,x
1652892778288.2,86.4,35.2,1.9,x
1652892778305.9,86.4,35.1,1.9,x
1652892778354.9,86.2,35.1,2,x
1652892778372.8,86.1,35.1,2.1,x
1652892778389,86.1,35,2.1,x
1652892778405.6,86,35,2.2,x
1652892778422.2,86,35,2.3,x
1652892778438.9,86,34.9,2.3,x
1652892778490,86,35,2.3,x
1652892778506.1,86.1,35,2.3,x
1652892778555.4,86.1,35,2.2,x
1652892778572.3,86.1,35.1,2.2,x
1652892778622.3,86.1,35,2.2,x
1652892778672.3,86,34.9,2.3,x
1652892778688.9,86,34.9,2.4,x
1652892778738.9,86.1,34.8,2.4,x
1652892778756,86.1,34.8,2.3,x
1652892778772.9,86.1,34.7,2.3,x
1652892778788.2,86.1,34.6,2.4,x
1652892778805.6,86.1,34.5,2.5,x
1652892778821.6,86.1,34.4,2.6,x
1652892778855.7,86.2,34.5,2.6,x
1652892778871.6,86.3,34.6,2.6,x
1652892778889.4,86.4,34.7,2.6,x
1652892778922.5,86.6,34.7,2.5,x
1652892778956.3,86.8,34.7,2.3,x
1652892778972.3,86.9,34.6,2.2,x
1652892778988.3,86.9,34.5,2.1,x
1652892779005.7,87,34.4,2,x
1652892779022.9,87,34.3,2.1,x
1652892779038.9,87,34.2,2.1,x
1652892779054.9,87,34.1,2,x
1652892779105.5,87,34.2,1.9,x
1652892779139.6,87,34.3,1.9,x
1652892779194.2,87,34.5,1.9,x
1652892779221.4,86.8,34.4,2.1,x
1652892779239.5,86.8,34.3,2.2,x
1652892779255.9,86.7,34.3,2.2,x
1652892779272.2,86.7,34.2,2.3,x
1652892779288.3,86.7,34.1,2.3,x
1652892779322.4,86.8,34.1,2.3,x
1652892779356.2,87,34.2,2.2,x
1652892779373.4,87.1,34.3,2.2,x
1652892779388.9,87.2,34.3,2,x
1652892779422.8,87.3,34.4,1.9,x
1652892779438.9,87.2,34.4,1.8,x
1652892779471.6,87,34.2,1.9,x
1652892779490.3,86.9,34.1,2,x
1652892779505.5,86.8,34,2,x
1652892779521.6,86.7,34,2.1,x
1652892779538.9,86.5,33.8,2.3,x
1652892779555.5,86.4,33.7,2.4,x
1652892779572.3,86.3,33.7,2.6,x
1652892779589.5,86.2,33.6,2.8,x
1652892779622.2,86.3,33.6,2.9,x
1652892779639.6,86.4,33.7,2.8,x
1652892779672.3,86.5,33.8,2.7,x
1652892779689,86.6,33.9,2.6,x
1652892779704.9,86.7,34,2.5,x
1652892779738.2,86.7,34.1,2.4,x
1652892779754.9,86.7,34,2.4,x
1652892779772.3,86.7,34,2.3,x
1652892779788.8,86.6,33.9,2.3,x
1652892779805.5,86.5,33.8,2.4,x
1652892779821.5,86.4,33.7,2.5,x
1652892779839.4,86.4,33.7,2.6,x
1652892779855.8,86.4,33.8,2.7,x
1652892779939.9,86.6,33.9,2.6,x
1652892779955.4,86.6,33.9,2.5,x
1652892780022.8,86.7,33.8,2.3,x
1652892780072.2,86.7,33.8,2.4,x
1652892780121.4,86.6,34,2.4,x
1652892780155.2,86.5,33.9,2.5,x
1652892780205.6,86.5,33.7,2.6,x
1652892780272.2,86.4,33.7,2.7,x
1652892780305.4,86.4,33.7,2.6,x
1652892780322.5,86.5,33.8,2.6,x
1652892780372.5,86.6,34,2.6,x
1652892780388.3,86.6,34,2.5,x
1652892780488.9,86.5,34,2.5,x
1652892780505.7,86.5,34,2.6,x
1652892780539.6,86.6,34,2.6,x
1652892780555.6,86.6,34.1,2.5,x
1652892780588.9,86.6,34,2.5,x
1652892780605.6,86.4,33.9,2.7,x
1652892780621.5,86.3,33.6,2.9,x
1652892780639,86.2,33.5,3,x
1652892780672.2,86.2,33.6,2.9,x
1652892780688.1,86.2,33.8,2.7,x
1652892780705.4,86.3,33.9,2.6,x
1652892780722.2,86.2,34,2.5,x
1652892780754.9,86,34,2.4,x
1652892780772.8,86,33.9,2.4,x
1652892780805,86.1,33.9,2,x
1652892780821.5,86.2,34,1.8,x
1652892780838.8,86.2,34.3,1.5,x
1652892780855.7,86.2,34.4,1.2,x
1652892780871.5,86,34.6,1.1,x
1652892780889.3,86,34.5,1.2,x
1652892780906,85.9,34.3,1.4,x
1652892780921.5,85.8,34.1,1.5,x
1652892780938.9,85.7,34,1.6,x
1652892780955.6,85.7,33.8,1.9,x
1652892780972.2,85.6,33.7,2.2,x
1652892780988.2,85.6,33.7,2.7,x
1652892781006.6,85.6,33.8,3.3,x
1652892781022.1,85.7,33.9,3.7,x
1652892781038,85.7,33.9,4.4,x
1652892781055,85.8,34,4.7,x
1652892781072.5,85.9,34.1,5.9,x
1652892781088.7,86.1,34.2,6.3,x
1652892781104.9,86.4,34.5,7,x
1652892781122.9,86.7,34.7,7.2,x
1652892781139,87.2,35.1,7.3,x
1652892781155,87.5,35.5,7.2,x
1652892781172.2,87.7,35.7,7,x
1652892781188.9,88,35.9,6.7,x
1652892781205.5,88.3,36.2,6.5,x
1652892781221.5,88.4,36.5,6.3,x
1652892781239.2,88.3,36.6,6.4,x
1652892781255.5,88.3,37.1,6.5,x
1652892781271.6,88.8,37.6,6.2,x
1652892781289.6,89,38.1,5.8,x
1652892781306.2,89.1,38.4,5.6,x
1652892781322.2,89.1,38.9,5.1,x
1652892781338.2,89.2,39.6,4.5,x
1652892781355.6,89.2,39.9,4.2,x
1652892781372.2,89.5,40.7,3.5,x
1652892781388.2,89.7,41.2,2.8,x
1652892781404.9,89.8,41.5,2.6,x
1652892781423.3,90.7,41.9,2,x
1652892781438.9,91,42,1.7,x
1652892781454.9,91.6,42,1.4,x
1652892781472.7,91.9,41.9,1.4,x
1652892781488.9,92.2,41.8,1.3,x
1652892781504.8,92.4,41.6,1.4,x
1652892781523,92.4,41.6,1.6,x
1652892781589.5,92.5,41.5,1.5,x
1652892781605.6,92.3,41.4,1.6,x
1652892781621.5,92.2,41.3,1.6,x
1652892781645.1,92,41.2,1.6,x
1652892781672.2,91.8,41.1,1.5,x
1652892781688.1,91.8,41.1,1.3,x
1652892781705.4,91.7,41,1.2,x
1652892781722.2,91.7,41,1,x
1652892781738.8,91.8,41,0.8,x
1652892781754.9,91.9,41.1,0.5,x
1652892781772.7,91.9,41.2,0.4,x
1652892781788.1,92,41.4,0.2,x
1652892781804.9,92.3,41.8,-0.2,x
1652892781822.1,92.4,42,-0.4,x
1652892781838.9,92.6,42.3,-0.9,x
1652892781855.3,92.9,42.6,-1.5,x
1652892781871.5,93.3,42.8,-2,x
1652892781890,93.6,42.9,-2,x
1652892781905.5,93.8,42.9,-2.1,x
1652892781921.5,94.1,42.8,-2.3,x
1652892781939.2,94.1,42.7,-2.3,x
1652892781971.4,94.3,42.5,-2.4,x
1652892782006.5,94.4,42.3,-2.4,x
1652892782038.1,94.4,42.2,-2.4,x
1652892782056.4,94.5,42.1,-2.5,x
1652892782072.3,94.6,42.1,-2.5,x
1652892782088.2,94.7,42.1,-2.6,x
1652892782104.9,94.7,41.9,-2.6,x
1652892782138.9,94.8,41.7,-2.6,x
1652892782154.9,94.9,41.5,-2.7,x
1652892782172.5,94.9,41.4,-2.8,x
1652892782189.3,94.8,41.2,-2.8,x
1652892782205.5,94.8,40.9,-2.8,x
1652892782221.4,94.8,40.7,-2.8,x
1652892782239.4,94.7,40.5,-2.8,x
1652892782255,94.7,40.2,-2.9,x
1652892782272,94.7,40,-2.9,x
1652892782305.4,94.5,39.8,-2.9,x
1652892782321.4,94.4,39.7,-2.9,x
1652892782338.1,94.2,39.6,-2.8,x
1652892782372.3,94,39.6,-2.9,x
1652892782388.1,93.9,39.7,-2.9,x
1652892782405.9,93.8,39.8,-2.9,x
1652892782422.6,93.7,40,-2.9,x
1652892782438.2,93.6,40.3,-2.8,x
1652892782455.6,93.6,40.6,-2.9,x
1652892782473.6,93.6,40.8,-3.1,x
1652892782488.1,93.6,41,-3.1,x
1652892782504.9,93.5,41.1,-3.2,x
1652892782539,93.3,41.1,-3.2,x
1652892782555.5,93.1,41.1,-3.2,x
1652892782572.9,92.9,41.1,-3.2,x
